,0,1,vars,t
0,0.0,0.0,0,0
1,-0.0,0.0,1,0
0,0.0,2.9002333615657565,0,1
1,1.0514086012902009,0.0,1,1
0,0.0,1.0434330706862338,0,2
1,0.3598173527356132,0.0,1,2
0,0.0,1.1018717139079783,0,3
1,0.25192370632021843,0.0,1,3
0,0.0,1.0739329989881832,0,4
1,0.23835713369616401,0.0,1,4
0,0.0,0.9214412033126149,0,5
1,0.18424788150772178,0.0,1,5
0,0.0,0.8072871590066375,0,6
1,0.15162464121024694,0.0,1,6
0,0.0,0.841324336456486,0,7
1,0.1653462424441538,0.0,1,7
0,0.0,0.9545028477386728,0,8
1,0.20487404218027358,0.0,1,8
0,0.0,0.9808552183554645,0,9
1,0.2171405438194263,0.0,1,9
0,0.0,1.0410121596142081,0,10
1,0.25208628377260245,0.0,1,10
0,0.0,0.0,0,11
1,0.0,0.0,1,11
0,0.0,0.8211655196916402,0,12
1,0.1815493815328769,0.0,1,12
0,0.0,0.8158874801462698,0,13
1,0.20333739368313117,0.0,1,13
0,0.0,0.9641243898255594,0,14
1,0.23063887038419648,0.0,1,14
0,0.0,0.9463634074197326,0,15
1,0.22080980262073457,0.0,1,15
0,0.0,0.9377476336755544,0,16
1,0.21635011962540304,0.0,1,16
0,0.0,0.9376315057800749,0,17
1,0.21632016584680372,0.0,1,17
0,0.0,0.9376315057800749,0,18
1,0.21632016584680372,0.0,1,18
0,0.0,0.9376315057800749,0,19
1,0.21632016584680372,0.0,1,19
0,0.0,0.41788329479116704,0,20
1,0.046898728073363746,0.0,1,20
0,0.0,0.8668178947746049,0,21
1,0.18708893654094647,0.0,1,21
0,0.0,0.8614738917027095,0,22
1,0.18567038342894415,0.0,1,22
0,0.0,0.8565534063134698,0,23
1,0.18416777482506141,0.0,1,23
0,0.0,0.8471434760948011,0,24
1,0.18180432287643697,0.0,1,24
0,0.0,0.8443489818321355,0,25
1,0.18165661434241132,0.0,1,25
0,0.0,0.8436112204112562,0,26
1,0.1827130605577728,0.0,1,26
0,0.0,0.8447937136084759,0,27
1,0.18330874590455706,0.0,1,27
0,0.0,0.8452336121098645,0,28
1,0.18344600433451444,0.0,1,28
0,0.0,0.8452654432582218,0,29
1,0.1834498948466236,0.0,1,29
0,0.0,0.8452654432582218,0,30
1,0.1834498948466236,0.0,1,30
0,0.0,0.9376315057800749,0,31
1,0.21632016584680372,0.0,1,31
0,0.0,-1.4572912889652354,0,32
1,1.4632475627514978,0.0,1,32
0,0.0,0.4032815906453865,0,33
1,0.04605845847378321,0.0,1,33
0,0.0,0.5784295830790944,0,34
1,0.09038005779324157,0.0,1,34
0,0.0,0.6711023665435581,0,35
1,0.11771816347122582,0.0,1,35
0,0.0,0.6582278747550004,0,36
1,0.11326949145871326,0.0,1,36
0,0.0,0.6358135814490894,0,37
1,0.1069936437106451,0.0,1,37
0,0.0,0.5935720057830843,0,38
1,0.09668337624596304,0.0,1,38
0,0.0,0.5816012157351723,0,39
1,0.09527559909281333,0.0,1,39
0,0.0,0.5955254185531952,0,40
1,0.09963301013866492,0.0,1,40
0,0.0,0.6089093867651345,0,41
1,0.1039134111373306,0.0,1,41
0,0.0,0.6085252642741719,0,42
1,0.10380238833732097,0.0,1,42
0,0.0,0.6083639090210601,0,43
1,0.10377132338970438,0.0,1,43
0,0.0,0.6079469717247235,0,44
1,0.10373816897129258,0.0,1,44
0,0.0,0.6078530946420218,0,45
1,0.1037917990532233,0.0,1,45
0,0.0,0.6079568387767222,0,46
1,0.10385733262711482,0.0,1,46
0,0.0,0.6080100966988238,0,47
1,0.10387257781204794,0.0,1,47
0,0.0,0.6080100966988238,0,48
1,0.10387257781204794,0.0,1,48
0,0.0,0.9376315057800749,0,49
1,0.21632016584680372,0.0,1,49
0,0.0,-1.340645146018673,0,50
1,1.0010701750388205,0.0,1,50
0,0.0,-0.051147527753060175,0,51
1,0.000839817513648329,0.0,1,51
0,0.0,0.03604368983232732,0,52
1,0.00040927928013196035,0.0,1,52
0,0.0,0.40901032926959563,0,53
1,0.04869545117782326,0.0,1,53
0,0.0,0.3049602075402376,0,54
1,0.02737269890059924,0.0,1,54
0,0.0,0.3616297115823925,0,55
1,0.03826132195168282,0.0,1,55
0,0.0,0.3622700010262715,0,56
1,0.03813716067515623,0.0,1,56
0,0.0,0.36477710461762486,0,57
