,s_1,s_2,Exp,pid,success
0,-2.1499999999998884,1.8000000000001677,63036,291507,1
1,-1.8499999999998842,4.500000000000206,65490,291507,0
2,-1.349999999999877,1.050000000000157,69421,291507,1
3,-2.199999999999889,0.8500000000001542,62617,291507,1
4,-1.3999999999998778,5.900000000000226,69118,291507,0
5,-2.199999999999889,0.25000000000014566,62605,291507,1
6,-1.699999999999882,6.1500000000002295,66723,291507,0
7,-2.199999999999889,2.600000000000179,62652,291507,1
8,-1.2999999999998764,-2.8499999999998984,69743,291507,1
9,-1.349999999999877,3.7000000000001947,69474,291507,1
10,-2.1499999999998884,9.850000000000282,63197,291507,0
11,-1.4999999999998792,-6.049999999999944,68079,291507,0
12,-1.9499999999998856,9.70000000000028,64794,291507,0
13,-2.199999999999889,6.5000000000002345,62730,291507,1
14,-1.7999999999998835,4.500000000000206,65890,291507,1
15,-1.6499999999998813,-2.899999999999899,66942,291507,1
16,-1.5999999999998806,7.550000000000249,67551,291507,0
17,-2.1499999999998884,1.400000000000162,63028,291507,1
18,-1.899999999999885,-4.699999999999925,64906,291507,1
19,-2.199999999999889,-5.449999999999935,62491,291507,0
20,-1.7499999999998828,-6.49999999999995,66070,291507,1
21,-1.899999999999885,-0.7999999999998693,64984,291507,1
22,-1.9499999999998856,-6.099999999999945,64478,291507,1
23,-1.349999999999877,-0.9999999999998721,69380,291507,1
24,-2.049999999999887,6.90000000000024,63938,291507,1
25,-2.0999999999998877,0.3500000000001471,63407,291507,1
26,-2.3499999999998913,-0.0499999999998586,61399,291507,0
27,-2.4499999999998927,2.400000000000176,60648,291507,1
28,-1.349999999999877,-9.799999999999997,69204,291507,0
29,-2.2999999999998906,-3.599999999999909,61728,291507,0
30,-2.1499999999998884,6.550000000000235,63131,291507,1
31,-1.7499999999998828,4.000000000000199,66280,291507,1
32,-1.699999999999882,-5.2499999999999325,66495,291507,1
33,-1.7999999999998835,-3.799999999999912,65724,291507,1
34,-1.2999999999998764,-7.1499999999999595,69657,291507,0
35,-2.4999999999998934,4.000000000000199,60280,291507,1
36,-1.699999999999882,-3.1999999999999034,66536,291507,1
37,-1.4999999999998792,-8.64999999999998,68027,291507,0
38,-2.3499999999998913,0.5500000000001499,61411,291507,1
39,-1.7999999999998835,4.2500000000002025,65885,291507,1
40,-1.7499999999998828,-8.749999999999982,66025,291507,0
41,-1.9999999999998863,-1.0999999999998735,64178,291507,0
42,-1.4499999999998785,-1.2999999999998764,68574,291507,1
43,-2.0999999999998877,-1.7999999999998835,63364,291507,1
44,-1.54999999999988,-9.699999999999996,67606,291507,1
45,-2.0999999999998877,-8.199999999999974,63236,291507,0
46,-1.9499999999998856,-8.149999999999974,64437,291507,0
47,-1.9999999999998863,5.000000000000213,64300,291507,1
48,-1.54999999999988,4.300000000000203,67886,291507,0
49,-2.399999999999892,1.3000000000001606,61026,291507,1
50,-1.4999999999998792,-0.09999999999985931,68198,291507,0
51,-1.899999999999885,-8.699999999999982,64826,291507,0
52,-1.9999999999998863,4.450000000000205,64289,291507,1
53,-1.4499999999998785,-6.249999999999947,68475,291507,1
54,-2.2999999999998906,6.8500000000002395,61937,291507,1
55,-1.2999999999998764,-9.799999999999997,69604,291507,0
56,-2.24999999999989,-1.6499999999998813,62167,291507,1
57,-1.349999999999877,0.6000000000001506,69412,291507,0
58,-1.349999999999877,-6.649999999999952,69267,291507,1
59,-1.899999999999885,0.4000000000001478,65008,291507,0
60,-2.4499999999998927,-1.3999999999998778,60572,291507,1
61,-1.6499999999998813,-6.199999999999946,66876,291507,1
62,-2.0999999999998877,7.250000000000245,63545,291507,0
63,-1.54999999999988,-6.349999999999948,67673,291507,1
64,-2.0999999999998877,-3.5499999999999083,63329,291507,1
