,s_1,s_2,Exp,pid,success
0,-2.9499999999999,-7.399999999999963,56452,393626,0
1,-2.9499999999999,1.2500000000001599,56625,393626,0
2,-3.749999999999911,-2.399999999999892,50152,393626,0
3,-3.749999999999911,2.450000000000177,50249,393626,0
4,-3.249999999999904,-3.6499999999999098,54127,393626,0
5,-2.599999999999895,9.05000000000027,59581,393626,0
6,-3.1499999999999027,-8.499999999999979,54830,393626,0
7,-3.399999999999906,-8.499999999999979,52830,393626,0
8,-2.599999999999895,1.7000000000001663,59434,393626,0
9,-2.9499999999999,0.6500000000001513,56613,393626,0
10,-3.299999999999905,8.750000000000266,53975,393626,0
11,-3.3499999999999055,8.550000000000264,53571,393626,0
12,-2.599999999999895,-9.849999999999998,59203,393626,0
13,-3.0499999999999012,-2.599999999999895,55748,393626,0
14,-2.599999999999895,-8.349999999999977,59233,393626,0
15,-2.899999999999899,-9.799999999999997,56804,393626,0
16,-3.299999999999905,3.5500000000001926,53871,393626,0
17,-3.099999999999902,-10.0,55200,393626,0
18,-2.9999999999999005,-7.4999999999999645,56050,393626,0
19,-3.1999999999999034,-1.699999999999882,54566,393626,0
20,-3.1999999999999034,-6.49999999999995,54470,393626,0
21,-3.749999999999911,-3.3499999999999055,50133,393626,0
22,-2.6999999999998963,-6.749999999999954,58465,393626,0
23,-3.1499999999999027,8.850000000000268,55177,393626,0
24,-3.599999999999909,-2.6499999999998956,51347,393626,0
25,-3.449999999999907,-1.4999999999998792,52570,393626,0
26,-3.5499999999999083,5.050000000000214,51901,393626,0
27,-2.6999999999998963,9.500000000000277,58790,393626,0
28,-2.549999999999894,8.200000000000259,59964,393626,0
29,-3.6999999999999105,-7.049999999999958,50459,393626,0
30,-3.249999999999904,2.300000000000175,54246,393626,0
31,-3.749999999999911,-9.29999999999999,50014,393626,0
32,-3.6499999999999098,-4.249999999999918,50915,393626,0
33,-3.249999999999904,4.200000000000202,54284,393626,0
34,-2.9999999999999005,9.850000000000282,56397,393626,0
35,-2.9499999999999,7.800000000000253,56756,393626,0
36,-3.6499999999999098,4.500000000000206,51090,393626,0
37,-3.599999999999909,-7.4999999999999645,51250,393626,0
38,-3.0499999999999012,4.450000000000205,55889,393626,0
39,-3.0499999999999012,-4.8999999999999275,55702,393626,0
40,-3.3499999999999055,-4.249999999999918,53315,393626,0
41,-3.5499999999999083,4.9500000000002125,51899,393626,0
42,-2.8499999999998984,4.850000000000211,57497,393626,0
43,-2.549999999999894,2.1500000000001727,59843,393626,0
44,-3.3499999999999055,-2.4499999999998927,53351,393626,0
45,-2.8499999999998984,-10.0,57200,393626,0
46,-3.399999999999906,-4.0499999999999154,52919,393626,0
47,-3.3499999999999055,8.95000000000027,53579,393626,0
48,-3.299999999999905,-3.1999999999999034,53736,393626,0
49,-3.0499999999999012,-4.249999999999918,55715,393626,0
50,-2.7999999999998977,7.800000000000253,57956,393626,0
51,-3.749999999999911,6.350000000000232,50327,393626,0
52,-3.5499999999999083,-7.349999999999962,51653,393626,0
53,-3.1499999999999027,-5.199999999999932,54896,393626,0
54,-3.0499999999999012,-0.7499999999998685,55785,393626,0
55,-3.399999999999906,9.450000000000276,53189,393626,0
56,-3.6499999999999098,8.500000000000263,51170,393626,0
57,-3.249999999999904,3.300000000000189,54266,393626,0
58,-3.3499999999999055,-0.19999999999986073,53396,393626,0
59,-3.249999999999904,8.500000000000263,54370,393626,0
60,-2.9499999999999,-1.4499999999998785,56571,393626,0
61,-3.4999999999999076,-0.499999999999865,52190,393626,0
62,-3.599999999999909,-4.199999999999918,51316,393626,0
63,-3.6499999999999098,4.850000000000211,51097,393626,0
64,-2.9499999999999,7.900000000000254,56758,393626,0
65,-3.099999999999902,-5.04999999999993,55299,393626,0
66,-3.1999999999999034,7.450000000000248,54749,393626,0
67,-2.899999999999899,7.050000000000242,57141,393626,0
68,-2.8499999999998984,-4.849999999999927,57303,393626,0
69,-3.1499999999999027,-4.34999999999992,54913,393626,0
70,-3.1499999999999027,2.6500000000001798,55053,393626,0
71,-3.1999999999999034,3.3500000000001897,54667,393626,0
72,-3.3499999999999055,-6.249999999999947,53275,393626,0
73,-3.449999999999907,5.45000000000022,52709,393626,0
74,-3.749999999999911,-7.799999999999969,50044,393626,0
75,-3.4999999999999076,-7.099999999999959,52058,393626,0
76,-2.9999999999999005,4.75000000000021,56295,393626,0
77,-3.5499999999999083,2.600000000000179,51852,393626,0
78,-3.249999999999904,-5.04999999999993,54099,393626,0
79,-3.5499999999999083,-6.249999999999947,51675,393626,0
80,-3.3499999999999055,4.1000000000002,53482,393626,0
81,-2.9499999999999,-4.649999999999924,56507,393626,0
82,-2.9499999999999,-0.14999999999986002,56597,393626,0
83,-3.599999999999909,7.900000000000254,51558,393626,0
84,-3.3499999999999055,-8.54999999999998,53229,393626,0
85,-3.6999999999999105,-4.34999999999992,50513,393626,0
86,-3.1999999999999034,0.3500000000001471,54607,393626,0
87,-3.0499999999999012,-5.149999999999931,55697,393626,0
88,-3.0499999999999012,1.6000000000001648,55832,393626,0
89,-3.6999999999999105,-8.54999999999998,50429,393626,0
90,-3.6499999999999098,6.700000000000237,51134,393626,0
91,-3.399999999999906,-7.099999999999959,52858,393626,0
92,-3.5499999999999083,6.1500000000002295,51923,393626,0
93,-2.599999999999895,-9.95,59201,393626,0
94,-2.7999999999998977,9.350000000000275,57987,393626,0
95,-3.6499999999999098,-9.399999999999991,50812,393626,0
96,-3.6499999999999098,-7.649999999999967,50847,393626,0
97,-3.3499999999999055,-1.7499999999998828,53365,393626,0
98,-2.899999999999899,8.700000000000266,57174,393626,0
99,-2.749999999999897,-3.8499999999999126,58123,393626,0
100,-3.249999999999904,5.150000000000215,54303,393626,0
101,-3.6999999999999105,3.0000000000001847,50660,393626,0
102,-3.3499999999999055,2.0500000000001712,53441,393626,0
103,-3.0499999999999012,-0.5499999999998657,55789,393626,0
104,-3.599999999999909,0.7000000000001521,51414,393626,0
105,-2.749999999999897,7.300000000000246,58346,393626,0
106,-2.599999999999895,-3.449999999999907,59331,393626,0
107,-2.749999999999897,7.200000000000244,58344,393626,0
108,-3.599999999999909,5.850000000000225,51517,393626,0
109,-3.1499999999999027,-5.9499999999999424,54881,393626,0
110,-3.0499999999999012,4.300000000000203,55886,393626,0
