,s_1,s_2,Exp,pid,success
0,-10.0,-10.0,0,4010,0
1,-10.0,-9.95,1,4010,0
2,-10.0,-9.899999999999999,2,4010,0
3,-10.0,-9.849999999999998,3,4010,0
4,-10.0,-9.799999999999997,4,4010,0
5,-10.0,-9.749999999999996,5,4010,0
6,-10.0,-9.699999999999996,6,4010,0
7,-10.0,-9.649999999999995,7,4010,0
8,-10.0,-9.599999999999994,8,4010,0
9,-10.0,-9.549999999999994,9,4010,0
10,-10.0,-9.499999999999993,10,4010,0
11,-10.0,-9.449999999999992,11,4010,0
12,-10.0,-9.399999999999991,12,4010,0
13,-10.0,-9.34999999999999,13,4010,0
14,-10.0,-9.29999999999999,14,4010,0
15,-10.0,-9.24999999999999,15,4010,0
16,-10.0,-9.199999999999989,16,4010,0
17,-10.0,-9.149999999999988,17,4010,0
18,-10.0,-9.099999999999987,18,4010,0
19,-10.0,-9.049999999999986,19,4010,0
20,-10.0,-8.999999999999986,20,4010,0
21,-10.0,-8.949999999999985,21,4010,0
22,-10.0,-8.899999999999984,22,4010,0
23,-10.0,-8.849999999999984,23,4010,0
24,-10.0,-8.799999999999983,24,4010,0
25,-10.0,-8.749999999999982,25,4010,0
26,-10.0,-8.699999999999982,26,4010,0
27,-10.0,-8.64999999999998,27,4010,0
28,-10.0,-8.59999999999998,28,4010,0
29,-10.0,-8.54999999999998,29,4010,0
30,-10.0,-8.499999999999979,30,4010,0
31,-10.0,-8.449999999999978,31,4010,0
32,-10.0,-8.399999999999977,32,4010,0
33,-10.0,-8.349999999999977,33,4010,0
34,-10.0,-8.299999999999976,34,4010,0
35,-10.0,-8.249999999999975,35,4010,0
36,-10.0,-8.199999999999974,36,4010,0
37,-10.0,-8.149999999999974,37,4010,0
38,-10.0,-8.099999999999973,38,4010,0
39,-10.0,-8.049999999999972,39,4010,0
40,-10.0,-7.999999999999972,40,4010,0
41,-10.0,-7.949999999999971,41,4010,0
42,-10.0,-7.89999999999997,42,4010,0
43,-10.0,-7.8499999999999694,43,4010,0
44,-10.0,-7.799999999999969,44,4010,0
45,-10.0,-7.749999999999968,45,4010,0
46,-10.0,-7.699999999999967,46,4010,0
47,-10.0,-7.649999999999967,47,4010,0
48,-10.0,-7.599999999999966,48,4010,0
49,-10.0,-7.549999999999965,49,4010,0
50,-10.0,-7.4999999999999645,50,4010,0
51,-10.0,-7.449999999999964,51,4010,0
52,-10.0,-7.399999999999963,52,4010,0
53,-10.0,-7.349999999999962,53,4010,0
54,-10.0,-7.299999999999962,54,4010,0
55,-10.0,-7.249999999999961,55,4010,0
56,-10.0,-7.19999999999996,56,4010,0
57,-10.0,-7.1499999999999595,57,4010,0
58,-10.0,-7.099999999999959,58,4010,0
59,-10.0,-7.049999999999958,59,4010,0
60,-10.0,-6.999999999999957,60,4010,0
61,-10.0,-6.949999999999957,61,4010,0
62,-10.0,-6.899999999999956,62,4010,0
63,-10.0,-6.849999999999955,63,4010,0
64,-10.0,-6.7999999999999545,64,4010,0
65,-10.0,-6.749999999999954,65,4010,0
66,-10.0,-6.699999999999953,66,4010,0
67,-10.0,-6.649999999999952,67,4010,0
68,-10.0,-6.599999999999952,68,4010,0
69,-10.0,-6.549999999999951,69,4010,0
70,-10.0,-6.49999999999995,70,4010,0
71,-10.0,-6.4499999999999496,71,4010,0
72,-10.0,-6.399999999999949,72,4010,0
73,-10.0,-6.349999999999948,73,4010,0
74,-10.0,-6.299999999999947,74,4010,0
75,-10.0,-6.249999999999947,75,4010,0
76,-10.0,-6.199999999999946,76,4010,0
77,-10.0,-6.149999999999945,77,4010,0
78,-10.0,-6.099999999999945,78,4010,0
79,-10.0,-6.049999999999944,79,4010,0
80,-10.0,-5.999999999999943,80,4010,0
81,-10.0,-5.9499999999999424,81,4010,0
82,-10.0,-5.899999999999942,82,4010,0
83,-10.0,-5.849999999999941,83,4010,0
84,-10.0,-5.79999999999994,84,4010,0
85,-10.0,-5.74999999999994,85,4010,0
86,-10.0,-5.699999999999939,86,4010,0
87,-10.0,-5.649999999999938,87,4010,0
88,-10.0,-5.5999999999999375,88,4010,0
89,-10.0,-5.549999999999937,89,4010,0
90,-10.0,-5.499999999999936,90,4010,0
91,-10.0,-5.449999999999935,91,4010,0
92,-10.0,-5.399999999999935,92,4010,0
93,-10.0,-5.349999999999934,93,4010,0
94,-10.0,-5.299999999999933,94,4010,0
95,-10.0,-5.2499999999999325,95,4010,0
96,-10.0,-5.199999999999932,96,4010,0
97,-10.0,-5.149999999999931,97,4010,0
98,-10.0,-5.09999999999993,98,4010,0
99,-10.0,-5.04999999999993,99,4010,0
100,-10.0,-4.999999999999929,100,4010,0
101,-10.0,-4.949999999999928,101,4010,0
102,-10.0,-4.8999999999999275,102,4010,0
103,-10.0,-4.849999999999927,103,4010,0
104,-10.0,-4.799999999999926,104,4010,0
105,-10.0,-4.749999999999925,105,4010,0
106,-10.0,-4.699999999999925,106,4010,0
107,-10.0,-4.649999999999924,107,4010,0
108,-10.0,-4.599999999999923,108,4010,0
109,-10.0,-4.5499999999999226,109,4010,0
110,-10.0,-4.499999999999922,110,4010,0
111,-10.0,-4.449999999999921,111,4010,0
112,-10.0,-4.39999999999992,112,4010,0
113,-10.0,-4.34999999999992,113,4010,0
114,-10.0,-4.299999999999919,114,4010,0
115,-10.0,-4.249999999999918,115,4010,0
116,-10.0,-4.199999999999918,116,4010,0
117,-10.0,-4.149999999999917,117,4010,0
