,0,1,2,vars,t
0,0.0,37.859851826964594,0.0,0,0
1,9.500284803154143,0.0,132.25334217037818,1,0
2,-26.61309388332807,-82.4549619412211,0.0,2,0
0,0.0,2.8273046884965454,0.0010442246734316271,0,1
1,1.2320793284503795,0.0,10.115269964534695,1,1
2,-1.6774458873446678,-3.7949401024400062,0.0,2,1
0,0.0,2.787341136070221,0.0008374243433860886,0,2
1,1.2193523782064801,0.0,9.994400616270507,1,2
2,-1.6498588130399945,-3.736590831814653,0.0,2,2
0,0.0,2.632500933385802,3.278100485698075e-05,0,3
1,1.1699704229479344,0.0,9.525099861611679,1,3
2,-1.5434207172719876,-3.5113969009378962,0.0,2,3
0,0.0,1.4970774110432838,-0.010085358630654401,0,4
1,0.7414727762933112,0.0,5.964271189127168,1,4
2,-0.7671684118273354,-1.9585983329310932,0.0,2,4
0,0.0,0.9528337034558887,-0.031083708971398734,0,5
1,0.4595865081471191,0.0,4.111160069354473,1,5
2,-0.4082856159642258,-1.3075825285998932,0.0,2,5
0,0.0,0.34906975571254983,-0.11213687397660385,0,6
1,0.09863450388116668,0.0,1.9694159623871852,1,6
2,-0.07891330451419289,-0.7246631818815715,0.0,2,6
0,0.0,-0.2440794586321681,-0.39507606004643103,0,7
1,0.039158000967421336,0.0,0.8541572561480613,1,7
2,-0.06068374649733107,-0.42975326890268767,0.0,2,7
0,0.0,-0.619989741748404,-0.8280192009181453,0,8
1,0.07433878621007214,0.0,1.2186030933662908,1,8
2,-0.3228471780857216,-0.31841021546900156,0.0,2,8
0,0.0,-0.6208412342420961,-0.9078432166424425,0,9
1,0.014387275006204372,0.0,1.1826942196226626,1,9
2,-0.326915367891301,-0.2906947129156884,0.0,2,9
0,0.0,-0.6000880997252488,-1.0855424323989962,0,10
1,-0.1155240077394432,0.0,0.9462148099999593,1,10
2,-0.29492386434618817,-0.2107147850425825,0.0,2,10
0,0.0,-0.5806177350354688,-1.1245129493528832,0,11
1,-0.13303535279817794,0.0,0.79376685491283,1,11
2,-0.2737786783075489,-0.1696681974405699,0.0,2,11
0,0.0,-0.48829795219878996,-1.2099634967454538,0,12
1,-0.11212900773721544,0.0,0.35468803279475136,1,12
2,-0.2102913101658875,0.012847362526810523,0.0,2,12
0,0.0,-0.2664733556736157,-1.0948826044563398,0,13
1,-0.03390894901691304,0.0,0.4500757765524095,1,13
2,-0.1285435751637532,0.3986437319811849,0.0,2,13
0,0.0,-0.012834102316427867,0.038420235887690876,0,14
1,-0.00011554160439727304,0.0,1.2927057427650595,1,14
2,-0.00021570842278857214,0.7440692329021602,0.0,2,14
0,0.0,-0.14511904983416715,-0.5194408144978823,0,15
1,-0.012282278115192153,0.0,0.7489736995106376,1,15
2,-0.033660003462075934,0.551733137852622,0.0,2,15
0,0.0,-0.03947177619909025,-0.5678417273052715,0,16
1,-0.00455783912862646,0.0,0.970848971360084,1,16
2,-0.038123307442561656,0.655017385036438,0.0,2,16
0,0.0,-0.06897184447792877,-0.45161268098411345,0,17
1,-0.005881750429271624,0.0,0.6339048884605835,1,17
2,-0.033491155517902646,0.4688383559919804,0.0,2,17
0,0.0,-0.05530906850182309,-0.488350040408863,0,18
1,-0.005721207483969341,0.0,0.76291183858463,1,18
2,-0.03965728162386655,0.5253624001265231,0.0,2,18
0,0.0,0.015515420794551494,-0.6024292637430904,0,19
1,-0.032881341826649285,0.0,1.484810668328362,1,19
2,-0.09683532260759004,0.7644289285261654,0.0,2,19
0,0.0,0.0,-0.615304415621845,0,20
1,-0.03317641886190085,0.0,0.9490200403193083,1,20
2,-0.12644559746536468,0.5575535208837858,0.0,2,20
0,0.0,-0.03671176454739362,-0.5930304480648547,0,21
1,-0.029225468800841134,0.0,0.6990831993078351,1,21
2,-0.11410994226359059,0.4447872619411196,0.0,2,21
0,0.0,-0.07326720009591231,-0.5385882429565731,0,22
1,-0.028028502582926586,0.0,0.5032859464192877,1,22
2,-0.09572953947533511,0.33231977270576396,0.0,2,22
0,0.0,-0.21100679298560296,-0.5510349557279152,0,23
1,-0.041819023507216224,0.0,0.3674545596304078,1,23
2,-0.10949359382118887,0.27092789947151336,0.0,2,23
0,0.0,-0.6440508876590025,-0.48154929183502576,0,24
1,-0.12771616740164732,0.0,0.147079879762516,1,24
2,-0.14081786286707462,0.15937411363255968,0.0,2,24
0,0.0,-0.9182148041061933,-0.24134748412190157,0,25
1,-0.31298515087222845,0.0,0.018752972069818356,1,25
2,-0.1378835042949925,0.025634164386089654,0.0,2,25
0,0.0,-0.8358127959559792,-0.3417178415529817,0,26
1,-0.2265058930255294,0.0,0.059555824204947365,1,26
2,-0.14218222403348468,0.08644899365151021,0.0,2,26
0,0.0,-0.8306094046551459,-0.34533074870144564,0,27
1,-0.22187008036697345,0.0,0.06688842729226407,1,27
2,-0.1397563032838705,0.09448731172557462,0.0,2,27
0,0.0,-0.8089591542990712,-0.3603450163674523,0,28
1,-0.20393491313558243,0.0,0.10318956589747932,1,28
2,-0.13000907549695306,0.13104807825038703,0.0,2,28
0,0.0,-0.7380765107184737,-0.33681269818825443,0,29
1,-0.15989122044089965,0.0,0.24680389397073615,1,29
2,-0.09327198937789019,0.27865521572882607,0.0,2,29
0,0.0,-0.6229944297860217,-0.3194691625208817,0,30
1,-0.12124694053896243,0.0,0.22364089102787751,1,30
2,-0.08855868428361126,0.26290707769184885,0.0,2,30
0,0.0,-0.6686656262302174,-0.3105805590832725,0,31
1,-0.1381105433353535,0.0,0.2156790256177265,1,31
2,-0.08697264602066747,0.24958500335338082,0.0,2,31
0,0.0,-0.6682925590159365,-0.3075224402479909,0,32
1,-0.13834029891845956,0.0,0.21698994017129555,1,32
2,-0.08521637591927021,0.2478828965604109,0.0,2,32
0,0.0,-0.6597321794616817,-0.3066335774657611,0,33
1,-0.1356340926171401,0.0,0.22121347241462236,1,33
2,-0.08368353194575838,0.24865312353273725,0.0,2,33
0,0.0,-0.6460554431106225,-0.3085972704142166,0,34
1,-0.13156036676542487,0.0,0.2275968748810393,1,34
2,-0.08294525219914956,0.25047137264174557,0.0,2,34
0,0.0,-0.614276565439157,-0.31864571951622933,0,35
1,-0.12317652898085714,0.0,0.24185690529645376,1,35
2,-0.08383700945572158,0.25346790756625376,0.0,2,35
0,0.0,-0.5733362255460803,-0.34114628472966974,0,36
1,-0.1142504091526335,0.0,0.2570186447455864,1,36
2,-0.08924620698235844,0.2522707912188774,0.0,2,36
0,0.0,-0.5270117368264149,-0.3796606228146774,0,37
1,-0.10617498023048151,0.0,0.26664156671781886,1,37
2,-0.10093344500515136,0.24316852775218167,0.0,2,37
0,0.0,-0.5072960047099526,-0.4150750842342238,0,38
1,-0.10562387654363452,0.0,0.25861962367999913,1,38
2,-0.1146113238487622,0.22692281676112736,0.0,2,38
0,0.0,-0.5129965457582795,-0.4283058809596816,0,39
1,-0.10842995178737853,0.0,0.2438356236756694,1,39
2,-0.12186110318942164,0.21504364632461687,0.0,2,39
0,0.0,-0.5284663833266562,-0.4257590730830225,0,40
1,-0.11204142240624543,0.0,0.23297557728726,1,40
2,-0.12310011699422832,0.20892128150272082,0.0,2,40
0,0.0,-0.5349455176842266,-0.42210451492909173,0,41
1,-0.11337966811087108,0.0,0.2275155668207148,1,41
2,-0.12292330359920256,0.20545364974928315,0.0,2,41
0,0.0,-0.5392869433857139,-0.41941639394972174,0,42
1,-0.11439755003090937,0.0,0.22413907644021855,1,42
2,-0.12273446912056242,0.20280632087237804,0.0,2,42
0,0.0,-0.5404168797393647,-0.41817986323114914,0,43
1,-0.11469917689606614,0.0,0.22300566090811985,1,43
2,-0.12265650517714599,0.20149094517322577,0.0,2,43
0,0.0,-0.5412266931950951,-0.4168265687596663,0,44
1,-0.11489666211632409,0.0,0.22231820405916905,1,44
2,-0.12264480172291707,0.20028713635673662,0.0,2,44
0,0.0,-0.5437126254465209,-0.4142927918199297,0,45
1,-0.11528763439933962,0.0,0.22166230551938196,1,45
2,-0.12262694322084068,0.1992235734703177,0.0,2,45
0,0.0,-0.5514146513215926,-0.40890523080272084,0,46
1,-0.1163314339027363,0.0,0.2207759154485733,1,46
2,-0.1221922170831787,0.1991729945249875,0.0,2,46
0,0.0,-0.5666822772859467,-0.4012962865680115,0,47
1,-0.11832058870236924,0.0,0.2200993698683112,1,47
2,-0.12013024562189109,0.20280370821947422,0.0,2,47
0,0.0,-0.5896672394100235,-0.3940411983678499,0,48
1,-0.12103786642219226,0.0,0.221650631405323,1,48
2,-0.11368798228596848,0.2134819379272982,0.0,2,48
0,0.0,-0.6112434398027405,-0.39149643276821183,0,49
1,-0.12202517407942766,0.0,0.22929645504967783,1,49
2,-0.10207150282220295,0.2282874076343764,0.0,2,49
0,0.0,-0.6289760114798981,-0.3832943351432686,0,50
1,-0.1220355471142386,0.0,0.22964627558009107,1,50
2,-0.09990639504294264,0.23037831334565773,0.0,2,50
0,0.0,-0.6285652423112441,-0.38260933148613496,0,51
1,-0.12159744204092639,0.0,0.23057965482756132,1,51
2,-0.10005585194761428,0.23066720266062066,0.0,2,51
0,0.0,-0.6270659559061427,-0.38294219533548207,0,52
1,-0.12133341214409707,0.0,0.23113032133655526,1,52
2,-0.10014903052001033,0.2309154431877645,0.0,2,52
0,0.0,-0.6251407330135399,-0.38357505676971543,0,53
1,-0.12106808232536583,0.0,0.23168658261007405,1,53
2,-0.10026790671594031,0.23115845207260546,0.0,2,53
0,0.0,-0.6240774765911183,-0.3841324246745171,0,54
1,-0.12097267754103812,0.0,0.23189982112507898,1,54
2,-0.10038603787611446,0.23121349257427526,0.0,2,54
0,0.0,-0.6224169032667332,-0.3853922697953645,0,55
1,-0.12092407267445798,0.0,0.23132233052554693,1,55
2,-0.10082596376491548,0.2307168406702615,0.0,2,55
0,0.0,-0.6227400550935024,-0.38599484827242597,0,56
1,-0.12113277911019874,0.0,0.23114481611871418,1,56
2,-0.10108983897729497,0.23066496027000946,0.0,2,56
0,0.0,-0.6228661438403416,-0.38572494604389274,0,57
1,-0.12109653839805151,0.0,0.2310685341598115,1,57
2,-0.1010097288886142,0.23062484988071363,0.0,2,57
0,0.0,-0.622946539610516,-0.3856915409844513,0,58
1,-0.12110610274143224,0.0,0.23101881093360263,1,58
2,-0.10101354840014838,0.2306051921749221,0.0,2,58
0,0.0,-0.622946539610516,-0.3856915409844513,0,59
1,-0.12110610274143224,0.0,0.23101881093360263,1,59
2,-0.10101354840014838,0.2306051921749221,0.0,2,59
0,0.0,-0.622946539610516,-0.3856915409844513,0,60
1,-0.12110610274143224,0.0,0.23101881093360263,1,60
2,-0.10101354840014838,0.2306051921749221,0.0,2,60
0,0.0,-0.26027298457478776,-0.2845315493159006,0,61
1,-0.04341789763861073,0.0,0.18105506911565514,1,61
2,-0.06538654392366854,0.15742837289447983,0.0,2,61
0,0.0,-0.5637541344140362,-0.36846178341914154,0,62
1,-0.10517433325253918,0.0,0.22242728987712718,1,62
2,-0.09469852997157813,0.21769850771326785,0.0,2,62
0,0.0,-0.5638937888577685,-0.3683488819532461,0,63
1,-0.10530865001960939,0.0,0.2224686448447903,1,63
2,-0.09460548674328012,0.21750681919599515,0.0,2,63
0,0.0,-0.5614104604836996,-0.3680024653514334,0,64
1,-0.10575299429296797,0.0,0.22258722108261703,1,64
2,-0.0941211685599641,0.21613876813435584,0.0,2,64
0,0.0,-0.5592619901099432,-0.36884548215330754,0,65
