,0,1,2,vars,t
0,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,1,0
2,0.0,0.0,0.0,2,0
0,0.0,0.2191043234737631,0.21902062097470104,0,1
1,0.21910432347376302,0.0,0.03831431471057564,1,1
2,0.21902062097470107,0.03831431471057565,0.0,2,1
0,0.0,0.4172845106391091,0.41709425249811855,0,2
1,0.3018274508587817,0.0,0.05215628443453353,1,2
2,0.30168304488375614,0.05215513652876807,0.0,2,2
0,0.0,0.6213886193362308,0.6210364752203683,0,3
1,0.2536520169133879,0.0,0.04720599975417137,1,3
2,0.25350231554132235,0.04720424195602739,0.0,2,3
0,0.0,0.6024118478942575,0.602052288234724,0,4
1,0.22595354968541384,0.0,0.048328742220346,1,4
2,0.22582197900926135,0.04832919817927963,0.0,2,4
0,0.0,0.5711540995242588,0.5707512045283891,0,5
1,0.18946150560016428,0.0,0.06059236636624472,1,5
2,0.1893438967074315,0.06059824726127806,0.0,2,5
0,0.0,0.5794578320285613,0.5790120080863232,0,6
1,0.19549395047611803,0.0,0.06387394142267502,1,6
2,0.19535808609109545,0.06387881147260813,0.0,2,6
0,0.0,0.6025450821089067,0.601901279092883,0,7
1,0.22034389303722876,0.0,0.07890981254530173,1,7
2,0.22015970771142634,0.07892712872475446,0.0,2,7
0,0.0,0.6052492184833279,0.6043803910887541,0,8
1,0.22594254607975248,0.0,0.0900648955960474,1,8
2,0.22568760880973332,0.09009037268654424,0.0,2,8
0,0.0,0.24773521425056763,0.24681306222409874,0,9
1,0.0401628353933173,0.0,0.13155930179835817,1,9
2,0.04003421758540202,0.13160666521392927,0.0,2,9
0,0.0,0.5007713867775233,0.4997715868436652,0,10
1,0.15772551322122,0.0,0.0975235237955576,1,10
2,0.15748066348458914,0.09755811013675213,0.0,2,10
0,0.0,0.5412962779208241,0.5401640572221867,0,11
1,0.1787599618780936,0.0,0.11114731330876561,1,11
2,0.17849017301316245,0.11119830036301101,0.0,2,11
0,0.0,0.5345910090877563,0.5333609189842741,0,12
1,0.15980140059867473,0.0,0.12312762989875177,1,12
2,0.15953259331108213,0.12318520934838054,0.0,2,12
0,0.0,0.5273045205460716,0.5260359396548588,0,13
1,0.15035348787672317,0.0,0.13136785020534175,1,13
2,0.1500932298180625,0.13143254666001247,0.0,2,13
0,0.0,0.5211379619313596,0.5198382938914771,0,14
1,0.1451812568698675,0.0,0.1386556984502675,1,14
2,0.14492517504916191,0.13872725057528837,0.0,2,14
0,0.0,0.49161968409795814,0.49015877942887587,0,15
1,0.12518572139703732,0.0,0.1794696129401684,1,15
2,0.12493296068549253,0.17957378773677038,0.0,2,15
