,0,1,vars,t
0,0.0,0.00022946200680637574,0,0
1,0.004309788387378051,0.0,1,0
0,0.0,2.3051453996685036,0,1
1,0.8708609952474478,0.0,1,1
0,0.0,1.3906176807153925,0,2
1,0.2516223722659721,0.0,1,2
0,0.0,1.8832668073047143,0,3
1,0.3123471990268114,0.0,1,3
0,0.0,2.2567280488510457,0,4
1,0.3980093042744623,0.0,1,4
0,0.0,2.174361424777964,0,5
1,0.3678167899663185,0.0,1,5
0,0.0,2.1529821803576925,0,6
1,0.3602742166556678,0.0,1,6
0,0.0,1.9983243343802273,0,7
1,0.3092891651823058,0.0,1,7
0,0.0,1.5001481557121719,0,8
1,0.1770804652219999,0.0,1,8
0,0.0,1.9262255006548046,0,9
1,0.28810177915398005,0.0,1,9
0,0.0,1.8212359462064531,0,10
1,0.258664355961584,0.0,1,10
0,0.0,1.949203544040068,0,11
1,0.2896562828454007,0.0,1,11
0,0.0,2.1460222424900177,0,12
1,0.3456097555911897,0.0,1,12
0,0.0,2.1412942563793975,0,13
1,0.3456940058902011,0.0,1,13
0,0.0,2.122363262379781,0,14
1,0.34601640567374553,0.0,1,14
0,0.0,2.0463708467364543,0,15
1,0.3470698134156381,0.0,1,15
0,0.0,1.7868546060351442,0,16
1,0.35133526105558344,0.0,1,16
0,0.0,1.9808900929390205,0,17
1,0.393277746223943,0.0,1,17
0,0.0,2.09130036368911,0,18
1,0.3840994728521381,0.0,1,18
0,0.0,2.0791960968465375,0,19
1,0.3630563000058529,0.0,1,19
0,0.0,2.0753552429953572,0,20
1,0.3619845465054501,0.0,1,20
0,0.0,2.0750041258878476,0,21
1,0.36192266358878084,0.0,1,21
0,0.0,2.0750041258878476,0,22
1,0.36192266358878084,0.0,1,22
0,0.0,2.0750041258878476,0,23
1,0.36192266358878084,0.0,1,23
0,0.0,-3.4609229440306613,0,24
1,1.155871076060498,0.0,1,24
0,0.0,1.4395873257107406,0,25
1,0.18242865521128626,0.0,1,25
0,0.0,1.6806735181210484,0,26
1,0.24439519483943722,0.0,1,26
0,0.0,1.7134052617024684,0,27
1,0.2536678430707283,0.0,1,27
0,0.0,1.7478623005897325,0,28
1,0.2640347958153254,0.0,1,28
0,0.0,1.6114770284677686,0,29
1,0.22749447855896415,0.0,1,29
0,0.0,1.6574198941922653,0,30
1,0.23983057664311058,0.0,1,30
0,0.0,1.6606820067964314,0,31
1,0.24071228257574342,0.0,1,31
0,0.0,1.6606518964661072,0,32
1,0.2406998641839116,0.0,1,32
0,0.0,1.6605933650786857,0,33
1,0.24063869175682615,0.0,1,33
0,0.0,1.6607002706073857,0,34
1,0.24063317570965542,0.0,1,34
0,0.0,1.6608352545047658,0,35
1,0.24065300253650032,0.0,1,35
0,0.0,1.6608659250227777,0,36
1,0.240661562049076,0.0,1,36
0,0.0,1.6608659250227777,0,37
1,0.240661562049076,0.0,1,37
0,0.0,2.0750041258878476,0,38
1,0.36192266358878084,0.0,1,38
0,0.0,-3.5404391030079525,0,39
1,1.7246725540751138,0.0,1,39
0,0.0,0.08494124811107626,0,40
1,0.0007526028511137694,0.0,1,40
0,0.0,0.48012380045602376,0,41
1,0.023120107177360898,0.0,1,41
0,0.0,1.8593835665692706,0,42
1,0.2951603696756451,0.0,1,42
0,0.0,0.9972564381421887,0,43
1,0.09388714910718846,0.0,1,43
0,0.0,1.116283522681584,0,44
1,0.11471752901629079,0.0,1,44
0,0.0,1.0883608101317388,0,45
1,0.10875449963535648,0.0,1,45
0,0.0,1.0470698906939484,0,46
1,0.09847038422816197,0.0,1,46
0,0.0,1.0557645220600012,0,47
1,0.09989870967396322,0.0,1,47
0,0.0,1.0907912086515135,0,48
1,0.10572856817858235,0.0,1,48
0,0.0,1.1529468511197454,0,49
1,0.11512556295878557,0.0,1,49
0,0.0,0.7447620353116033,0,50
1,0.04604542413960925,0.0,1,50
0,0.0,1.043565497106971,0,51
1,0.09326335974251289,0.0,1,51
0,0.0,1.0794609877777852,0,52
1,0.09840710936697014,0.0,1,52
0,0.0,1.0692817342445384,0,53
1,0.09658086523509464,0.0,1,53
0,0.0,1.065058941640401,0,54
1,0.09589745693861376,0.0,1,54
0,0.0,1.061069433473663,0,55
1,0.09537408174773306,0.0,1,55
0,0.0,1.054202071365447,0,56
1,0.09477872476668404,0.0,1,56
0,0.0,1.0492495366819257,0,57
1,0.09492877139842276,0.0,1,57
0,0.0,1.0503055045168115,0,58
1,0.09608095683060491,0.0,1,58
0,0.0,1.0540653401915274,0,59
1,0.09699044064422471,0.0,1,59
0,0.0,1.0555067538175997,0,60
1,0.09719614340107109,0.0,1,60
0,0.0,1.0556610562045836,0,61
1,0.09720152512625271,0.0,1,61
0,0.0,1.0556617439058578,0,62
1,0.09719966291531337,0.0,1,62
0,0.0,1.0556617439058578,0,63
1,0.09719966291531337,0.0,1,63
0,0.0,2.0750041258878476,0,64
1,0.36192266358878084,0.0,1,64
0,0.0,-4.103290429344601,0,65
1,1.758598938648102,0.0,1,65
0,0.0,-0.20544003932853802,0,66
1,0.004198648192269901,0.0,1,66
0,0.0,-0.1371697360412813,0,67
1,0.0018673258101925864,0.0,1,67
0,0.0,0.1381232208976664,0,68
1,0.0018729515910867643,0.0,1,68
0,0.0,1.7881531805420248,0,69
1,0.27453025181483254,0.0,1,69
0,0.0,0.47412734123937517,0,70
1,0.021538920669695875,0.0,1,70
0,0.0,0.6792507764021661,0,71
1,0.04300920902191696,0.0,1,71
0,0.0,0.5666688459898657,0,72
1,0.030387782961231794,0.0,1,72
0,0.0,0.5713479372920626,0,73
1,0.030700700249424118,0.0,1,73
0,0.0,0.5903107588154265,0,74
1,0.03197327297428201,0.0,1,74
0,0.0,0.6058451696832188,0,75
1,0.03097867968996382,0.0,1,75
0,0.0,0.5765574954172745,0,76
1,0.025308864873650746,0.0,1,76
0,0.0,0.5808657415409585,0,77
1,0.024873131349141958,0.0,1,77
0,0.0,0.5834982799862182,0,78
1,0.025363862026597208,0.0,1,78
0,0.0,0.5856609696715549,0,79
1,0.027657478886951664,0.0,1,79
0,0.0,0.0,0,80
1,-0.0,0.0,1,80
0,0.0,0.5698280452936724,0,81
1,0.026159212796344342,0.0,1,81
0,0.0,0.56885945910325,0,82
1,0.026581164174872496,0.0,1,82
0,0.0,0.5686802879033954,0,83
1,0.026596165424096135,0.0,1,83
0,0.0,0.5686802879033954,0,84
1,0.026596165424096135,0.0,1,84
0,0.0,0.5686802879033954,0,85
1,0.026596165424096135,0.0,1,85
0,0.0,-9.716467159993416,0,86
1,5.360629038218294,0.0,1,86
0,0.0,-1.05409335819571,0,87
1,0.092236324113211,0.0,1,87
0,0.0,0.25932605035245454,0,88
1,0.005568203786818997,0.0,1,88
0,0.0,0.42421327430414457,0,89
1,0.014850686426856817,0.0,1,89
0,0.0,0.4244399660817365,0,90
1,0.01486300312176263,0.0,1,90
0,0.0,0.42534730297350043,0,91
1,0.014912329726338595,0.0,1,91
0,0.0,0.4289857751846064,0,92
1,0.015110594544844477,0.0,1,92
0,0.0,0.43020540609231905,0,93
1,0.015177218634388675,0.0,1,93
0,0.0,0.0,0,94
1,-0.0,0.0,1,94
0,0.0,0.41249546454526154,0,95
1,0.013639889145342528,0.0,1,95
0,0.0,0.4128312463961074,0,96
1,0.013660577641278898,0.0,1,96
0,0.0,0.4137462094693959,0,97
1,0.013704329118035562,0.0,1,97
0,0.0,0.41377980629874983,0,98
1,0.013699254752620916,0.0,1,98
0,0.0,0.4137263117593581,0,99
1,0.013693719480258867,0.0,1,99
0,0.0,0.4137180153240197,0,100
1,0.013693166333382023,0.0,1,100
0,0.0,0.4137180153240197,0,101
1,0.013693166333382023,0.0,1,101
0,0.0,0.5686802879033954,0,102
1,0.026596165424096135,0.0,1,102
0,0.0,-8.207350469897955,0,103
1,4.3452207435488415,0.0,1,103
0,0.0,-0.9141420529665868,0,104
1,0.07050733368604734,0.0,1,104
0,0.0,0.011934399964027386,0,105
1,1.1901171565657626e-05,0.0,1,105
0,0.0,0.08094410448792391,0,106
1,0.0005463971473221834,0.0,1,106
0,0.0,0.5197703238467698,0,107
1,0.022203987208384873,0.0,1,107
0,0.0,0.21816662547050444,0,108
1,0.003953134480151824,0.0,1,108
0,0.0,0.2754130327330959,0,109
1,0.006271265967232882,0.0,1,109
0,0.0,0.2496304417606289,0,110
1,0.00515304892143239,0.0,1,110
0,0.0,0.24944893645304844,0,111
1,0.005144069746110058,0.0,1,111
0,0.0,0.24872207917725694,0,112
1,0.005108222121309801,0.0,1,112
0,0.0,0.24580125895041813,0,113
1,0.004965939631869395,0.0,1,113
0,0.0,0.23390279748343779,0,114
1,0.004414716124153262,0.0,1,114
0,0.0,0.23955730439131168,0,115
1,0.004598608573792815,0.0,1,115
0,0.0,0.24433999553840796,0,116
1,0.004784172142965137,0.0,1,116
0,0.0,0.2447848769756089,0,117
1,0.004800711144292314,0.0,1,117
0,0.0,0.24698366906637217,0,118
1,0.0048773728624208704,0.0,1,118
0,0.0,0.24918713139455284,0,119
1,0.004943276138204617,0.0,1,119
0,0.0,0.2514295963298355,0,120
1,0.004981004424977246,0.0,1,120
0,0.0,0.2510321539607455,0,121
1,0.004903153167646124,0.0,1,121
0,0.0,0.24829452254590711,0,122
1,0.004767207847439085,0.0,1,122
0,0.0,0.24681256525884868,0,123
1,0.004711795914944457,0.0,1,123
0,0.0,0.24653953692328393,0,124
1,0.004704293349102911,0.0,1,124
0,0.0,0.24653469994275704,0,125
1,0.004704526457358608,0.0,1,125
0,0.0,0.24653469994275704,0,126
1,0.004704526457358608,0.0,1,126
0,0.0,0.24653469994275704,0,127
1,0.004704526457358608,0.0,1,127
0,0.0,-10.872911926609826,0,128
1,5.782934200611395,0.0,1,128
0,0.0,-1.3766006522753496,0,129
1,0.14471000833251116,0.0,1,129
0,0.0,-0.07118222118314499,0,130
1,0.00039304645486787576,0.0,1,130
0,0.0,0.18515227741531703,0,131
1,0.0026551025962266873,0.0,1,131
0,0.0,0.19137690732567875,0,132
1,0.0028363322440685228,0.0,1,132
0,0.0,0.19513723908447864,0,133
1,0.0029484814149686642,0.0,1,133
0,0.0,0.2018935710307777,0,134
1,0.0031547369479828762,0.0,1,134
0,0.0,0.15258085343441707,0,135
1,0.0018000542813550774,0.0,1,135
0,0.0,0.18427157487375226,0,136
1,0.0026271392440692294,0.0,1,136
0,0.0,0.1907541670553066,0,137
1,0.0028147608508543543,0.0,1,137
0,0.0,0.1863967539438852,0,138
1,0.00268747908711363,0.0,1,138
0,0.0,0.1861021903469394,0,139
1,0.002678834972521651,0.0,1,139
0,0.0,0.18574008726279692,0,140
1,0.002667901513268773,0.0,1,140
0,0.0,0.18515751028250838,0,141
1,0.002649469840139606,0.0,1,141
0,0.0,0.18446140522385776,0,142
