,0,1,vars,t
0,-3.9999999999999964,6.931526674548462,0,0
1,-1.9836284843286642,3.421088928839576,1,0
0,-3.5008091102308607,1.8818218013582457,0,1
1,-1.7319730489924074,0.9169043228612338,1,1
0,-2.960972867724801,-0.2588510527266124,0,2
1,-1.459827207787286,-0.1446705893867328,1,2
0,-2.514723491443721,-0.5957904710348432,0,3
1,-1.2348610007547682,-0.31176124629906715,1,3
0,-0.8013268032558998,-0.8059302472168663,0,4
1,-0.3710920532304547,-0.4159710577303453,1,4
0,-0.40059260702382665,-0.5862360990627276,0,5
1,-0.16907126183831142,-0.3070231652006274,1,5
0,-0.437793151172963,-0.7340827370374479,0,6
1,-0.18782504786378593,-0.3803413658003478,1,6
0,-0.4278526077350049,-0.7161039968855605,0,7
1,-0.18281375491427837,-0.3714255805309412,1,7
0,-0.4179774650160795,-0.7016019959921849,0,8
1,-0.17783543221073703,-0.3642339350179764,1,8
0,-0.4008067705564095,-0.6765483441374263,0,9
1,-0.1691792273844183,-0.3518096506540883,1,9
0,-0.37421381221414735,-0.6377037543439663,0,10
1,-0.15577300814913472,-0.33254634195999594,1,10
0,-0.3324147216069512,-0.5762728552011643,0,11
1,-0.13470097226266545,-0.3020823216206001,1,11
0,-0.2805295729608544,-0.47956751707732054,0,12
1,-0.10854428563711709,-0.25412545579832724,1,12
0,-0.20588389850405112,-1.9836284843286642,0,13
1,-0.070913411183292,-0.9999999999999993,1,13
0,-0.25862148647031646,-0.9210009691476447,0,14
1,-0.0974998351951015,-0.4730354481638846,1,14
0,-0.24126719248139017,-0.8223738931107006,0,15
1,-0.08875107295155105,-0.42412557882565116,1,15
0,-0.3203360799534704,-0.7737634055091325,0,16
1,-0.1286118070036938,-0.40001929186475693,1,16
0,-0.3909128332456151,-0.7404626573744356,0,17
1,-0.16419142982607454,-0.3835052137273974,1,17
0,-0.3975866905065511,-0.7420355346259078,0,18
1,-0.16755589918798483,-0.3842852147569901,1,18
0,-0.40008577647404037,-0.7453083536400996,0,19
1,-0.1688157550466969,-0.3859082290121413,1,19
0,-0.3997667726702483,-0.7456789472937089,0,20
1,-0.16865493672496373,-0.3860920090439945,1,20
0,-0.3997120708857587,-0.7457084923941781,0,21
1,-0.168627360097121,-0.38610666066970994,1,21
0,-0.3997120708857587,-0.7457084923941781,0,22
1,-0.168627360097121,-0.38610666066970994,1,22
0,-0.6719686555826081,-4.366452247152313,0,23
1,-0.30587916246221497,-2.18165927226805,1,23
0,-0.42846266103314123,-1.128062953490713,0,24
1,-0.1831212990451258,-0.575718960705016,1,24
0,-0.4153759055724908,-0.9656512951046936,0,25
1,-0.17652391674090878,-0.49517786276462483,1,25
0,-0.41480482399700164,-0.9429907204901302,0,26
1,-0.17623601929438557,-0.48394032244544855,1,26
0,-0.4156821532425058,-0.927767009285471,0,27
1,-0.17667830435554294,-0.47639077564975996,1,27
0,-0.42299219547058925,-0.9827635055443291,0,28
1,-0.18036349151928624,-0.5036639297790967,1,28
0,-0.42219375704350176,-0.9700668421645334,0,29
1,-0.17996097742282277,-0.49736756399507287,1,29
0,-0.422026994990488,-0.968382751420726,0,30
1,-0.17987690822623129,-0.4965324114026697,1,30
0,-0.42196968058571643,-0.9683962432674541,0,31
1,-0.1798480145068559,-0.4965391021055386,1,31
0,-0.4217404229666308,-0.9684502106543621,0,32
1,-0.17973243962935376,-0.4965658649170123,1,32
0,-0.42065355805278637,-0.9688000535458178,0,33
1,-0.17918452205182792,-0.4967393544981462,1,33
0,-0.3997120708857587,-0.7457084923941781,0,34
1,-0.168627360097121,-0.38610666066970994,1,34
0,-1.0391251425061983,-4.811840828792339,0,35
1,-0.49097253545229325,-2.402530641552022,1,35
0,-0.5876984613664386,-1.9411447057939644,0,36
1,-0.2633963110200562,-0.9789319916941644,1,36
0,-0.5485254664797884,-1.676187843594717,0,37
1,-0.24364815999473588,-0.8475379969499702,1,37
0,-0.404443951041549,-0.8350923959626463,0,38
1,-0.17101282702965018,-0.4304327749594351,1,38
0,-0.49194572184510366,-1.3458958870195028,0,39
1,-0.21512480237929357,-0.6837438636481608,1,39
0,-0.46460619737425995,-1.2708491003439688,0,40
1,-0.2013422192560744,-0.6465276277214299,1,40
0,-0.46278362113988764,-1.2958054032294744,0,41
1,-0.2004234099887291,-0.6589036360382342,1,41
0,-0.4437578391050374,-1.3189665539985282,0,42
1,-0.190832006061451,-0.6703894156370668,1,42
0,-0.4326182812713022,-1.3236760479397667,0,43
1,-0.18521625799081104,-0.6727248872192191,1,43
0,-0.41536735293602367,-1.3193325276279264,0,44
1,-0.17651960512886317,-0.6705709045660124,1,44
0,-0.3547338344685239,-1.3040659336265266,0,45
1,-0.14595263205576764,-0.6630000918860486,1,45
0,-0.09193194430146234,-1.9836284843286642,0,46
1,-0.013467193253448868,-0.9999999999999993,1,46
0,-0.33719254051337944,-1.3494248405019498,0,47
1,-0.13710959814406173,-0.6854938968100756,1,47
0,-0.33966255751963015,-1.346211863885815,0,48
1,-0.13835479956447133,-0.6839005588262621,1,48
0,-0.3454875446914582,-1.3419651753729973,0,49
1,-0.14129133088464918,-0.6817945957517393,1,49
0,-0.35909018927538233,-1.3363053519180257,0,50
1,-0.14814878664886583,-0.6789878489963499,1,50
0,-0.37926911524551554,-1.3328055074555083,0,51
1,-0.15832152117529186,-0.6772522512047068,1,51
0,-0.39182193974539176,-1.3348452587328232,0,52
1,-0.16464973464825275,-0.678263778388363,1,52
0,-0.39247553883682523,-1.3377838562088957,0,53
1,-0.16497923137437692,-0.679721049802743,1,53
0,-0.391197195897439,-1.3387260122058315,0,54
1,-0.1643347846196109,-0.6801882716707928,1,54
0,-0.3909294887818196,-1.3387980387836134,0,55
1,-0.16419982632589106,-0.6802239901636219,1,55
0,-0.39091312854878874,-1.3387968745832597,0,56
1,-0.1641915786962769,-0.6802234128283766,1,56
0,-0.3997120708857587,-0.7457084923941781,0,57
1,-0.168627360097121,-0.38610666066970994,1,57
0,-0.7818301523240682,-4.705792657115184,0,58
1,-0.36126327173943207,-2.349940598039584,1,58
0,-0.5325456901690978,-2.122330897401883,0,59
1,-0.2355923287557029,-1.0687835143542888,1,59
0,-0.5296596361220431,-2.0778435328561096,0,60
1,-0.23413739197199793,-1.0467219134778618,1,60
0,-0.5181154199338213,-1.8998940746730162,0,61
1,-0.22831764483717662,-0.9584755099721506,1,61
0,-0.40935948011278495,-0.9002936730705388,0,62
1,-0.1734908762763068,-0.46276655258089056,1,62
0,-0.49387197555563245,-1.6770671028630852,0,63
1,-0.2160958782262812,-0.8479740278824321,1,63
0,-0.4650343157934023,-1.5426302095980349,0,64
1,-0.2015580451642654,-0.7813058151761314,1,64
0,-0.4811750941345282,-1.6178761245908582,0,65
1,-0.20969504181895257,-0.8186208002534154,1,65
0,-0.47406989280202194,-1.615888558064238,0,66
1,-0.20611312041147167,-0.8176351518592403,1,66
0,-0.4456490874719983,-1.6079382919577598,0,67
1,-0.19178543478154836,-0.8136925582825392,1,67
0,-0.3590655997031448,-1.6129558227231051,0,68
1,-0.14813639038997312,-0.8161807875193218,1,68
0,-0.2865022079332558,-1.6433623147999759,0,69
1,-0.11155525014966929,-0.8312595834673703,1,69
0,-0.09095625917084678,-1.917596297309579,0,70
1,-0.012975324368562581,-0.967254168236604,1,70
0,-0.2715721431215272,-1.6643002639539157,0,71
1,-0.10402860646125643,-0.8416428615536659,1,71
0,-0.13324986757914778,-1.7649086042646913,0,72
1,-0.034296659861793706,-0.8915352539540372,1,72
0,-0.2459718898945454,-1.6829205402514482,0,73
1,-0.09112283633886076,-0.8508767891661306,1,73
0,-0.15853203668934923,-1.673189983669865,0,74
1,-0.04704207530119638,-0.8460513368652286,1,74
0,-0.1653949676010561,-1.6613688643941484,0,75
1,-0.05050186173092671,-0.8401891596372414,1,75
0,-0.16912603565348333,-1.65920866170444,0,76
1,-0.05238279260175451,-0.8391178997404345,1,76
0,-0.20487118203063867,-1.647425326833858,0,77
1,-0.07040287381129237,-0.8332744600680158,1,77
0,-0.09256211242247968,-1.9836284843286642,0,78
1,-0.013784877802746258,-0.9999999999999993,1,78
0,-0.20055547859624517,-1.6603446139984346,0,79
1,-0.06822721265876878,-0.8396812265722347,1,79
0,-0.26414040649469017,-1.6532062016933788,0,80
1,-0.10028206990688122,-0.8361412370769375,1,80
0,-0.3067243162815088,-1.6494405935887704,0,81
1,-0.12174975406409429,-0.8342738452026576,1,81
0,-0.30679077811137867,-1.6493715404097173,0,82
1,-0.12178325924432057,-0.8342396012394302,1,82
0,-0.30679386045417223,-1.6493657287602477,0,83
1,-0.12178481313549451,-0.834236719201074,1,83
0,-0.30679386045417223,-1.6493657287602477,0,84
1,-0.12178481313549451,-0.834236719201074,1,84
0,-0.40231199443938953,-5.890797713267617,0,85
1,-0.16993805087121075,-2.937593043903946,1,85
0,-0.328834108414586,-2.628051228000011,0,86
1,-0.1328958896977332,-1.3195738275739273,1,86
0,-0.3110193100907806,-1.836994574612795,0,87
1,-0.12391497494250134,-0.9272831999797817,1,87
0,-0.30870062634033896,-1.734034654744544,0,88
1,-0.12274606465070009,-0.8762246425310649,1,88
0,-0.30842555957573375,-1.73386699322105,0,89
1,-0.1226073961617276,-0.8761414979876332,1,89
0,-0.3073252925173146,-1.7331963471270813,0,90
1,-0.12205272220583709,-0.8758089198139076,1,90
0,-0.3029242242836371,-1.730513762751187,0,91
1,-0.11983402638227589,-0.8744786071189992,1,91
0,-0.3014421205685435,-1.7296103756509542,0,92
1,-0.11908685838846926,-0.8740306110228978,1,92
0,-0.06460465449209443,-1.9836284843286642,0,93
1,0.000309222050758869,-0.9999999999999993,1,93
0,-0.28672457004344953,-1.7453955654297824,0,94
1,-0.11166734881731294,-0.8818585990418518,1,94
0,-0.28685257978989287,-1.74462975146695,0,95
1,-0.11173188194307458,-0.8814788264442627,1,95
0,-0.28567798607609163,-1.7436834466484912,0,96
1,-0.11113973793875104,-0.8810095471460736,1,96
0,-0.2817597854731485,-1.7429794413996942,0,97
1,-0.1091644685604886,-0.8806604259299143,1,97
0,-0.2754963499809979,-1.743282023969295,0,98
1,-0.10600690375355329,-0.8808104787808969,1,98
0,-0.27147328538632803,-1.7443238520337825,0,99
