,s_1,s_2,Exp,pid,success
0,-1.7499999999998828,5.200000000000216,66304,54034,0
1,-1.6499999999998813,1.1000000000001577,67022,54034,1
2,-1.4499999999998785,-9.399999999999991,68412,54034,0
3,-1.8499999999998842,-7.549999999999965,65249,54034,0
4,-1.3999999999998778,8.700000000000266,69174,54034,0
5,-2.3499999999998913,0.6500000000001513,61413,54034,1
6,-2.4499999999998927,-0.24999999999986144,60595,54034,1
7,-1.7999999999998835,-3.1499999999999027,65737,54034,1
8,-1.699999999999882,8.850000000000268,66777,54034,0
9,-1.4499999999998785,-2.749999999999897,68545,54034,1
10,-2.3499999999998913,4.650000000000208,61493,54034,0
11,-1.7499999999998828,8.000000000000256,66360,54034,0
12,-1.3999999999998778,-6.099999999999945,68878,54034,0
13,-1.899999999999885,9.05000000000027,65181,54034,0
14,-2.1499999999998884,-8.199999999999974,62836,54034,0
15,-1.8499999999998842,-6.299999999999947,65274,54034,0
16,-1.4499999999998785,1.1500000000001585,68623,54034,1
17,-1.6499999999998813,8.900000000000269,67178,54034,0
18,-1.7499999999998828,-6.49999999999995,66070,54034,0
19,-2.24999999999989,3.650000000000194,62273,54034,0
20,-1.6499999999998813,3.3500000000001897,67067,54034,1
21,-2.199999999999889,-6.949999999999957,62461,54034,0
22,-1.4999999999998792,-8.049999999999972,68039,54034,0
23,-2.0999999999998877,-7.299999999999962,63254,54034,0
24,-2.4999999999998934,-0.9499999999998714,60181,54034,1
25,-2.399999999999892,-0.9499999999998714,60981,54034,1
26,-2.3499999999998913,4.1000000000002,61482,54034,0
27,-1.7499999999998828,-8.049999999999972,66039,54034,0
28,-1.3999999999998778,-1.2499999999998757,68975,54034,1
29,-1.9499999999998856,-2.199999999999889,64556,54034,0
30,-1.699999999999882,-4.249999999999918,66515,54034,0
31,-1.5999999999998806,1.900000000000169,67438,54034,1
32,-1.699999999999882,3.2000000000001876,66664,54034,0
33,-1.3999999999998778,-7.19999999999996,68856,54034,0
34,-1.4999999999998792,-6.849999999999955,68063,54034,0
35,-1.8499999999998842,-7.349999999999962,65253,54034,0
36,-1.4499999999998785,2.1500000000001727,68643,54034,0
37,-2.399999999999892,5.000000000000213,61100,54034,0
38,-2.4999999999998934,-8.199999999999974,60036,54034,0
39,-2.24999999999989,1.8500000000001684,62237,54034,1
40,-2.199999999999889,1.9500000000001698,62639,54034,1
41,-1.8499999999998842,9.550000000000278,65591,54034,0
42,-1.2999999999998764,8.600000000000264,69972,54034,0
43,-2.199999999999889,1.2500000000001599,62625,54034,1
44,-1.9499999999998856,-4.199999999999918,64516,54034,1
45,-2.0999999999998877,8.700000000000266,63574,54034,0
46,-2.0999999999998877,-5.849999999999941,63283,54034,0
47,-1.899999999999885,8.95000000000027,65179,54034,0
48,-2.3499999999998913,8.35000000000026,61567,54034,0
49,-1.4999999999998792,-6.249999999999947,68075,54034,0
50,-1.3999999999998778,0.6000000000001506,69012,54034,1
51,-1.349999999999877,0.8000000000001535,69416,54034,1
52,-1.5999999999998806,8.200000000000259,67564,54034,0
53,-1.2999999999998764,-9.399999999999991,69612,54034,0
54,-1.8499999999998842,4.550000000000207,65491,54034,0
55,-2.2999999999998906,3.5500000000001926,61871,54034,1
56,-2.2999999999998906,-0.4499999999998643,61791,54034,1
57,-1.7499999999998828,7.350000000000247,66347,54034,0
58,-2.0999999999998877,-3.399999999999906,63332,54034,1
59,-1.4999999999998792,-1.6499999999998813,68167,54034,1
60,-1.6499999999998813,7.800000000000253,67156,54034,0
61,-2.049999999999887,4.700000000000209,63894,54034,0
62,-1.349999999999877,1.1500000000001585,69423,54034,1
63,-1.4999999999998792,9.70000000000028,68394,54034,1
64,-2.0999999999998877,-4.249999999999918,63315,54034,0
65,-2.2999999999998906,-3.8999999999999133,61722,54034,1
66,-2.24999999999989,3.650000000000194,62273,54034,0
67,-2.24999999999989,2.3500000000001755,62247,54034,1
68,-1.8499999999998842,-7.449999999999964,65251,54034,0
69,-2.4999999999998934,-0.6499999999998671,60187,54034,1
70,-1.5999999999998806,-5.449999999999935,67291,54034,0
71,-1.7999999999998835,-5.649999999999938,65687,54034,0
72,-1.7999999999998835,-9.899999999999999,65602,54034,0
73,-2.0999999999998877,-8.299999999999976,63234,54034,0
74,-1.2999999999998764,-9.649999999999995,69607,54034,0
75,-2.049999999999887,-2.6999999999998963,63746,54034,0
76,-2.4999999999998934,-8.149999999999974,60037,54034,0
77,-2.24999999999989,3.9500000000001982,62279,54034,1
78,-1.4499999999998785,6.300000000000232,68726,54034,1
79,-1.699999999999882,1.1000000000001577,66622,54034,1
80,-1.9999999999998863,1.9500000000001698,64239,54034,0
81,-1.4499999999998785,-8.999999999999986,68420,54034,0
82,-1.4999999999998792,6.350000000000232,68327,54034,1
83,-2.399999999999892,-8.399999999999977,60832,54034,0
84,-2.0999999999998877,2.450000000000177,63449,54034,1
85,-1.2999999999998764,-6.199999999999946,69676,54034,0
86,-1.2999999999998764,-1.3999999999998778,69772,54034,1
87,-2.399999999999892,-8.899999999999984,60822,54034,0
88,-1.3999999999998778,-0.3999999999998636,68992,54034,0
89,-2.199999999999889,-4.34999999999992,62513,54034,0
90,-1.9499999999998856,9.950000000000284,64799,54034,0
91,-2.2999999999998906,3.0000000000001847,61860,54034,1
92,-1.6499999999998813,4.1000000000002,67082,54034,1
93,-2.2999999999998906,-0.14999999999986002,61797,54034,1
94,-2.3499999999998913,-3.099999999999902,61338,54034,1
95,-2.4499999999998927,-2.7999999999998977,60544,54034,1
96,-1.9499999999998856,-8.64999999999998,64427,54034,0
97,-1.899999999999885,8.400000000000261,65168,54034,0
98,-1.5999999999998806,-4.449999999999921,67311,54034,1
99,-1.7499999999998828,-9.899999999999999,66002,54034,0
100,-2.3499999999998913,-1.1499999999998742,61377,54034,1
101,-2.0999999999998877,-3.8499999999999126,63323,54034,0
102,-2.1499999999998884,6.5000000000002345,63130,54034,1
103,-1.7499999999998828,-2.899999999999899,66142,54034,0
104,-2.2999999999998906,3.5500000000001926,61871,54034,1
105,-1.4499999999998785,2.0500000000001712,68641,54034,1
106,-2.0999999999998877,-0.4499999999998643,63391,54034,1
107,-1.3999999999998778,5.550000000000221,69111,54034,1
108,-1.9499999999998856,3.6000000000001933,64672,54034,1
109,-1.4499999999998785,1.7000000000001663,68634,54034,1
110,-1.899999999999885,-0.5499999999998657,64989,54034,1
111,-1.699999999999882,5.650000000000222,66713,54034,0
112,-1.9499999999998856,9.850000000000282,64797,54034,0
113,-2.399999999999892,4.9500000000002125,61099,54034,0
114,-1.8499999999998842,5.150000000000215,65503,54034,1
115,-1.54999999999988,-2.3499999999998913,67753,54034,1
116,-1.899999999999885,3.300000000000189,65066,54034,1
117,-1.699999999999882,-0.5999999999998664,66588,54034,1
118,-1.7999999999998835,-1.0499999999998728,65779,54034,1
119,-1.349999999999877,-9.099999999999987,69218,54034,0
120,-2.2999999999998906,3.150000000000187,61863,54034,1
121,-1.4499999999998785,5.700000000000223,68714,54034,0
122,-2.4999999999998934,0.20000000000014495,60204,54034,1
123,-1.4499999999998785,-2.9999999999999005,68540,54034,0
124,-1.6499999999998813,-7.949999999999971,66841,54034,0
125,-2.4999999999998934,-6.999999999999957,60060,54034,0
126,-2.4999999999998934,7.750000000000252,60355,54034,0
127,-1.4499999999998785,-6.399999999999949,68472,54034,0
128,-2.2999999999998906,-4.449999999999921,61711,54034,0
129,-1.349999999999877,-9.149999999999988,69217,54034,0
130,-1.9999999999998863,5.300000000000217,64306,54034,1
131,-2.4999999999998934,-0.5999999999998664,60188,54034,1
132,-1.6499999999998813,-7.949999999999971,66841,54034,0
133,-1.3999999999998778,-7.799999999999969,68844,54034,0
134,-1.9999999999998863,1.5000000000001634,64230,54034,1
135,-1.8499999999998842,1.9500000000001698,65439,54034,1
136,-2.049999999999887,8.700000000000266,63974,54034,0
137,-2.399999999999892,4.400000000000205,61088,54034,1
138,-2.4499999999998927,4.550000000000207,60691,54034,1
139,-1.8499999999998842,6.050000000000228,65521,54034,1
140,-1.699999999999882,5.900000000000226,66718,54034,0
141,-2.4499999999998927,-9.34999999999999,60413,54034,0
142,-1.5999999999998806,9.100000000000271,67582,54034,0
143,-2.199999999999889,7.550000000000249,62751,54034,0
144,-1.8499999999998842,-0.09999999999985931,65398,54034,1
145,-1.7499999999998828,3.100000000000186,66262,54034,1
146,-2.4499999999998927,9.05000000000027,60781,54034,0
147,-1.9499999999998856,8.800000000000267,64776,54034,0
148,-2.4999999999998934,8.650000000000265,60373,54034,0
149,-1.349999999999877,4.1000000000002,69482,54034,1
150,-1.9999999999998863,-4.999999999999929,64100,54034,0
151,-1.3999999999998778,-5.349999999999934,68893,54034,0
152,-2.0999999999998877,-1.7499999999998828,63365,54034,0
153,-1.7499999999998828,9.550000000000278,66391,54034,0
154,-2.4999999999998934,-8.099999999999973,60038,54034,0
155,-1.4499999999998785,-9.95,68401,54034,0
156,-1.9499999999998856,6.5000000000002345,64730,54034,0
157,-2.049999999999887,4.550000000000207,63891,54034,0
158,-1.349999999999877,-5.04999999999993,69299,54034,0
159,-2.3499999999998913,2.750000000000181,61455,54034,1
160,-1.349999999999877,-4.649999999999924,69307,54034,0
161,-2.3499999999998913,-3.1999999999999034,61336,54034,1
162,-1.899999999999885,-4.599999999999923,64908,54034,0
163,-2.24999999999989,7.750000000000252,62355,54034,0
164,-2.049999999999887,-1.0499999999998728,63779,54034,1
165,-1.9999999999998863,7.350000000000247,64347,54034,0
166,-2.3499999999998913,3.650000000000194,61473,54034,0
167,-2.1499999999998884,-6.399999999999949,62872,54034,0
168,-1.6499999999998813,2.5500000000001783,67051,54034,1
169,-2.399999999999892,-7.549999999999965,60849,54034,0
170,-1.2999999999998764,-2.899999999999899,69742,54034,0
171,-1.349999999999877,-5.549999999999937,69289,54034,0
172,-1.8499999999998842,7.150000000000244,65543,54034,0
173,-1.9999999999998863,-7.19999999999996,64056,54034,0
174,-1.54999999999988,9.00000000000027,67980,54034,0
175,-1.349999999999877,9.250000000000274,69585,54034,0
176,-2.1499999999998884,-2.399999999999892,62952,54034,1
177,-1.7999999999998835,-9.34999999999999,65613,54034,0
178,-1.6499999999998813,4.6000000000002075,67092,54034,0
179,-2.199999999999889,-6.299999999999947,62474,54034,0
180,-2.1499999999998884,-0.7499999999998685,62985,54034,1
181,-2.199999999999889,-4.5499999999999226,62509,54034,0
182,-2.399999999999892,6.400000000000233,61128,54034,0
183,-2.0999999999998877,7.900000000000254,63558,54034,0
184,-2.199999999999889,5.8000000000002245,62716,54034,0
185,-1.9499999999998856,0.7000000000001521,64614,54034,1
186,-1.7999999999998835,2.100000000000172,65842,54034,1
187,-1.9999999999998863,9.70000000000028,64394,54034,0
188,-2.399999999999892,-2.049999999999887,60959,54034,1
189,-1.6499999999998813,5.550000000000221,67111,54034,0
190,-1.4999999999998792,-8.299999999999976,68034,54034,0
191,-2.049999999999887,-5.349999999999934,63693,54034,0
192,-1.7499999999998828,-2.0999999999998877,66158,54034,1
193,-2.4999999999998934,-6.949999999999957,60061,54034,0
194,-2.2999999999998906,7.300000000000246,61946,54034,0
195,-1.8499999999998842,9.250000000000274,65585,54034,0
196,-1.54999999999988,4.9500000000002125,67899,54034,1
197,-2.24999999999989,-7.049999999999958,62059,54034,0
198,-2.4999999999998934,3.800000000000196,60276,54034,1
199,-1.4499999999998785,1.8000000000001677,68636,54034,1
200,-2.2999999999998906,4.9500000000002125,61899,54034,0
201,-2.3499999999998913,-8.399999999999977,61232,54034,0
202,-2.399999999999892,-3.299999999999905,60934,54034,0
203,-1.3999999999998778,-2.2999999999998906,68954,54034,1
204,-1.3999999999998778,-2.899999999999899,68942,54034,0
