,s_1,s_2,Exp,pid,success
0,-1.2499999999998757,-10.0,70000,6604,0
1,-1.2499999999998757,-9.95,70001,6604,0
2,-1.2499999999998757,-9.899999999999999,70002,6604,0
3,-1.2499999999998757,-9.849999999999998,70003,6604,0
4,-1.2499999999998757,-9.799999999999997,70004,6604,0
5,-1.2499999999998757,-9.749999999999996,70005,6604,0
6,-1.2499999999998757,-9.699999999999996,70006,6604,0
7,-1.2499999999998757,-9.649999999999995,70007,6604,0
8,-1.2499999999998757,-9.599999999999994,70008,6604,0
9,-1.2499999999998757,-9.549999999999994,70009,6604,0
10,-1.2499999999998757,-9.499999999999993,70010,6604,0
11,-1.2499999999998757,-9.449999999999992,70011,6604,0
12,-1.2499999999998757,-9.399999999999991,70012,6604,0
13,-1.2499999999998757,-9.34999999999999,70013,6604,0
14,-1.2499999999998757,-9.29999999999999,70014,6604,0
15,-1.2499999999998757,-9.24999999999999,70015,6604,0
16,-1.2499999999998757,-9.199999999999989,70016,6604,0
17,-1.2499999999998757,-9.149999999999988,70017,6604,0
18,-1.2499999999998757,-9.099999999999987,70018,6604,0
19,-1.2499999999998757,-9.049999999999986,70019,6604,0
20,-1.2499999999998757,-8.999999999999986,70020,6604,0
21,-1.2499999999998757,-8.949999999999985,70021,6604,0
22,-1.2499999999998757,-8.899999999999984,70022,6604,0
23,-1.2499999999998757,-8.849999999999984,70023,6604,0
24,-1.2499999999998757,-8.799999999999983,70024,6604,0
25,-1.2499999999998757,-8.749999999999982,70025,6604,0
26,-1.2499999999998757,-8.699999999999982,70026,6604,0
27,-1.2499999999998757,-8.64999999999998,70027,6604,0
28,-1.2499999999998757,-8.59999999999998,70028,6604,0
29,-1.2499999999998757,-8.54999999999998,70029,6604,0
30,-1.2499999999998757,-8.499999999999979,70030,6604,0
31,-1.2499999999998757,-8.449999999999978,70031,6604,0
32,-1.2499999999998757,-8.399999999999977,70032,6604,0
33,-1.2499999999998757,-8.349999999999977,70033,6604,0
34,-1.2499999999998757,-8.299999999999976,70034,6604,0
35,-1.2499999999998757,-8.249999999999975,70035,6604,0
36,-1.2499999999998757,-8.199999999999974,70036,6604,0
37,-1.2499999999998757,-8.149999999999974,70037,6604,0
38,-1.2499999999998757,-8.099999999999973,70038,6604,1
39,-1.2499999999998757,-8.049999999999972,70039,6604,0
