,s_1,s_2,Exp,pid,success
0,-1.2499999999998757,-7.099999999999959,70058,73909,0
1,-0.0499999999998586,-5.999999999999943,79680,73909,1
2,-1.199999999999875,-5.699999999999939,70486,73909,1
3,-0.6999999999998678,7.500000000000249,74750,73909,0
4,-0.3999999999998636,-2.6999999999998963,76946,73909,1
5,-0.5499999999998657,-0.09999999999985931,75798,73909,1
6,-0.8999999999998707,-0.7499999999998685,72985,73909,1
7,-1.0499999999998728,1.0000000000001563,71820,73909,1
8,-0.9499999999998714,-0.09999999999985931,72598,73909,1
9,-0.9999999999998721,1.4210854715202004e-13,72200,73909,1
10,-0.24999999999986144,8.35000000000026,78367,73909,0
11,-0.14999999999986002,-6.149999999999945,78877,73909,1
12,-0.7999999999998693,-7.19999999999996,73656,73909,0
13,-0.4499999999998643,3.450000000000191,76669,73909,1
14,-1.0999999999998735,1.2500000000001599,71425,73909,1
15,-0.499999999999865,-1.199999999999875,76176,73909,1
16,-0.3999999999998636,9.300000000000274,77186,73909,0
17,-0.5499999999998657,-7.749999999999968,75645,73909,1
18,-0.6499999999998671,-4.099999999999916,74918,73909,1
19,-0.4499999999998643,-6.199999999999946,76476,73909,1
20,-0.34999999999986287,6.300000000000232,77526,73909,1
21,-0.29999999999986215,1.0000000000001563,77820,73909,0
22,-0.24999999999986144,-3.5499999999999083,78129,73909,1
23,-0.5499999999998657,1.2000000000001592,75824,73909,0
24,-0.7499999999998685,-8.499999999999979,74030,73909,0
25,-0.6999999999998678,0.5500000000001499,74611,73909,1
26,-0.24999999999986144,-5.5999999999999375,78088,73909,0
27,-0.0499999999998586,2.6500000000001798,79853,73909,1
28,-0.9999999999998721,-5.449999999999935,72091,73909,1
29,-0.499999999999865,-8.59999999999998,76028,73909,1
30,-0.8999999999998707,0.5500000000001499,73011,73909,1
31,-1.2499999999998757,-5.549999999999937,70089,73909,1
32,-0.3999999999998636,5.950000000000227,77119,73909,1
33,-1.2499999999998757,8.800000000000267,70376,73909,1
34,-0.9999999999998721,2.100000000000172,72242,73909,1
35,-0.29999999999986215,8.900000000000269,77978,73909,0
36,-0.9999999999998721,8.35000000000026,72367,73909,1
37,-1.0999999999998735,-1.5999999999998806,71368,73909,1
38,-0.4499999999998643,-7.249999999999961,76455,73909,0
39,-0.7999999999998693,0.9000000000001549,73818,73909,0
40,-0.29999999999986215,3.9000000000001975,77878,73909,1
41,-0.24999999999986144,-0.14999999999986002,78197,73909,0
42,-1.0499999999998728,2.7000000000001805,71854,73909,1
43,-0.29999999999986215,9.900000000000283,77998,73909,0
44,-0.499999999999865,2.800000000000182,76256,73909,1
45,-0.24999999999986144,6.450000000000234,78329,73909,1
46,-0.9999999999998721,0.9000000000001549,72218,73909,1
47,-0.5499999999998657,8.200000000000259,75964,73909,1
48,-0.8999999999998707,8.750000000000266,73175,73909,1
49,-0.0499999999998586,-0.6499999999998671,79787,73909,1
50,-0.5499999999998657,-6.249999999999947,75675,73909,1
51,-0.14999999999986002,1.2000000000001592,79024,73909,0
52,-0.14999999999986002,-8.249999999999975,78835,73909,1
53,-0.9999999999998721,5.650000000000222,72313,73909,1
54,-1.199999999999875,-8.59999999999998,70428,73909,1
55,-1.0999999999998735,-3.249999999999904,71335,73909,1
56,-0.9999999999998721,-2.549999999999894,72149,73909,0
57,-0.4499999999998643,9.550000000000278,76791,73909,1
58,-0.3999999999998636,3.2500000000001883,77065,73909,1
59,-0.6999999999998678,-1.349999999999877,74573,73909,1
60,-0.5999999999998664,9.70000000000028,75594,73909,0
61,-0.6499999999998671,2.1500000000001727,75043,73909,1
62,-0.19999999999986073,-1.2499999999998757,78575,73909,0
63,-0.5999999999998664,4.350000000000204,75487,73909,1
64,-0.9999999999998721,8.95000000000027,72379,73909,0
65,-0.6499999999998671,3.4000000000001904,75068,73909,1
66,-1.199999999999875,2.3500000000001755,70647,73909,0
67,-1.0999999999998735,-4.449999999999921,71311,73909,0
68,-1.0999999999998735,7.650000000000251,71553,73909,1
69,-0.8999999999998707,5.45000000000022,73109,73909,1
70,-0.0499999999998586,-1.7999999999998835,79764,73909,0
71,-0.9999999999998721,-5.849999999999941,72083,73909,0
72,-0.29999999999986215,-8.349999999999977,77633,73909,0
73,-0.7999999999998693,-8.099999999999973,73638,73909,0
74,-0.5999999999998664,8.30000000000026,75566,73909,1
75,-0.6499999999998671,9.600000000000279,75192,73909,0
76,-0.0499999999998586,-3.249999999999904,79735,73909,0
77,-0.09999999999985931,5.750000000000224,79515,73909,1
78,-1.0499999999998728,-8.499999999999979,71630,73909,0
79,-0.7999999999998693,6.800000000000239,73936,73909,1
80,-0.6499999999998671,-5.849999999999941,74883,73909,0
81,-0.6499999999998671,-0.0499999999998586,74999,73909,1
82,-1.2499999999998757,-7.799999999999969,70044,73909,1
83,-0.499999999999865,-1.9499999999998856,76161,73909,0
84,-0.7499999999998685,6.050000000000228,74321,73909,1
85,-0.499999999999865,-9.95,76001,73909,1
86,-0.34999999999986287,-8.449999999999978,77231,73909,0
