,0,1,2,vars,t
0,0.0,127.80642008205795,6.887547860795366,0,0
1,104.97413910196198,0.0,-4.397289402811702,1,0
2,-19.775457324541787,0.0,0.0,2,0
0,0.0,8.485337371826475,0.9739880084866651,0,1
1,5.569417560491266,0.0,-0.3566578704914376,1,1
2,-2.8414883599176313,0.0032001462856730586,0.0,2,1
0,0.0,8.382913284082278,0.9649361165568899,0,2
1,5.489393229199009,0.0,-0.3514006109490325,1,2
2,-2.813636657500578,0.00425446323505385,0.0,2,2
0,0.0,7.985979763345119,0.9297696687117013,0,3
1,5.180312257448536,0.0,-0.33107099438124543,1,3
2,-2.7054516886276048,0.008318676233017649,0.0,2,3
0,0.0,4.773952117509375,0.6573126481989295,0,4
1,2.7164098759466775,0.0,-0.17580813635221146,1,4
2,-1.7449556569422442,0.06495842936627166,0.0,2,4
0,0.0,3.127805154528425,0.549395917152073,0,5
1,1.5238033482315405,0.0,-0.10991128948369787,1,5
2,-1.17380415957905,0.10835955729696951,0.0,2,5
0,0.0,1.2123869958393567,0.4305871770526881,0,6
1,0.3703025350165745,0.0,-0.04846571427171261,1,6
2,-0.3772067374369364,0.10791017874455752,0.0,2,6
0,0.0,0.004989259817835787,-0.46181022574086306,0,7
1,0.0019795839880150396,0.0,-0.021373156137352075,1,7
2,-0.11002789716049885,0.036105149893969235,0.0,2,7
0,0.0,-0.11945205648785093,-2.2758984917793796,0,8
1,0.07602968227414308,0.0,-0.012159425186871511,1,8
2,-1.1083435210474315,0.029877433413851046,0.0,2,8
0,0.0,-0.06442453480729993,-1.9073164654286774,0,9
1,0.05516589555249408,0.0,-0.0024591760367253107,1,9
2,-0.6840495908342328,0.009953665084549406,0.0,2,9
0,0.0,-0.07209789978094523,-1.4747971346610418,0,10
1,-0.060648072165041096,0.0,0.1553508880572948,1,10
2,-0.2219901990245947,0.03509340250053468,0.0,2,10
0,0.0,-0.06275338316765373,-1.5571067444828408,0,11
1,-0.040979673723039574,0.0,0.13738738988763574,1,11
2,-0.26411095434504794,0.04085375388959752,0.0,2,11
0,0.0,-0.08650007435290925,-1.5307224777181998,0,12
1,-0.03370621490524186,0.0,0.149954836122523,1,12
2,-0.26663186527232663,0.0723412509910271,0.0,2,12
0,0.0,-0.12588845515244743,-1.4018135928536153,0,13
1,-0.031254075457748345,0.0,0.18138639546786822,1,13
2,-0.23178130675573955,0.12704488310550938,0.0,2,13
0,0.0,-0.21300672206812898,-1.1167108265085623,0,14
1,-0.030733727416133578,0.0,0.24734726380889094,1,14
2,-0.16563075449587542,0.25673511969921825,0.0,2,14
0,0.0,-0.38124537216928167,-0.587877275202665,0,15
1,-0.033713317857901756,0.0,0.3471182914834756,1,15
2,-0.09208853289525837,0.5110368951147363,0.0,2,15
0,0.0,-0.5080993050749167,0.31244296264513327,0,16
1,-0.05618055210784321,0.0,0.3547701806090574,1,16
2,-0.08788832010901626,0.5826919998447931,0.0,2,16
0,0.0,-0.5424079583216564,0.2136343076479112,0,17
1,-0.06925901200182061,0.0,0.3516069131017452,1,17
2,-0.09729118531722325,0.5710704159478075,0.0,2,17
0,0.0,-0.7914807108502478,0.12361370720927024,0,18
1,-0.20629242761064667,0.0,0.2925717250739162,1,18
2,-0.20545538818945297,0.49086726611567244,0.0,2,18
0,0.0,-1.0211107150908585,0.0,0,19
1,-0.36559199202082254,0.0,0.06683877494293121,1,19
2,-0.17110789495351844,0.0,0.0,2,19
0,0.0,-1.3104140756187914,0.03135452883167025,0,20
1,-0.42409106906348454,0.0,0.09629086483989167,1,20
2,-0.2056279321406011,0.12634385496565023,0.0,2,20
0,0.0,-0.08613349189436065,0.05224659613587136,0,21
1,-0.0023287116280976336,0.0,0.0003287265588459191,1,21
2,-0.014389026407043225,0.0,0.0,2,21
0,0.0,-1.1316858317754956,0.036317155506514556,0,22
1,-0.32702863043351793,0.0,0.07093429342213771,1,22
2,-0.1578486309743671,0.110193288896035,0.0,2,22
0,0.0,-1.252442211628568,0.10397103484788751,0,23
1,-0.3008267574006182,0.0,0.08441258176934678,1,23
2,-0.15320989025393586,0.24206307841840197,0.0,2,23
0,0.0,-1.2480969563752529,0.09760570162966829,0,24
1,-0.30143363674158286,0.0,0.0870093479969624,1,24
2,-0.1366489210123492,0.26333972766102437,0.0,2,24
0,0.0,-1.202719952354505,0.05695182517406972,0,25
1,-0.29480575547854926,0.0,0.09158598829942538,1,25
2,-0.09488395969213045,0.2900281448157949,0.0,2,25
0,0.0,-1.094317296996962,0.0,0,26
