,0,1,2,vars,t
0,0.0,-3.5110514315975214,-7.134733089575459,0,0
1,0.4648817312581784,0.0,0.7898366761261832,1,0
2,-4.975111063885645,0.0,0.0,2,0
0,0.0,-0.3438920439373687,-0.7259745893559157,0,1
1,0.08941801912398323,0.0,0.1034265729176708,1,1
2,-0.8367593820105671,-0.4961626967927228,0.0,2,1
0,0.0,-0.06875611264744823,-0.04010320976730059,0,2
1,0.06988539857462053,0.0,0.1431418419812929,1,2
2,-0.20901566795872062,-0.3943398474699146,0.0,2,2
0,0.0,-0.028607123999816856,-0.07723715689383409,0,3
1,0.07466071586390094,0.0,0.052847320109591846,1,3
2,0.40865231394601675,-0.05718740519092588,0.0,2,3
0,0.0,-0.02025764635046466,-0.2494967866795841,0,4
1,0.10829334446902646,0.0,-0.3498683533533104,1,4
2,1.0813510845749643,-0.6206770486425577,0.0,2,4
0,0.0,-0.009752391509095903,-0.149397208659718,0,5
1,0.15365804807744018,0.0,-0.7396577696466765,1,5
2,1.0202698086509512,-3.086861971497533,0.0,2,5
0,0.0,-0.0015150177108559882,-0.023101134993078185,0,6
1,0.09287646240764866,0.0,-0.40914343091699834,1,6
2,0.14320100950557715,-2.805044694146348,0.0,2,6
0,0.0,0.000936336721569369,-0.02412286241972845,0,7
1,0.1018624409641039,0.0,-0.44081043888709315,1,7
2,-0.05748713946419,-2.915486347189893,0.0,2,7
0,0.0,0.00259477077795614,-0.024894612738325318,0,8
1,0.10149320774553461,0.0,-0.44027565156254106,1,8
2,-0.09385949426556905,-2.884770471890905,0.0,2,8
0,0.0,0.006873301422257037,-0.025295344102258872,0,9
1,0.09909254039444117,0.0,-0.4365590114257964,1,9
2,-0.12366884482287202,-2.850053091531764,0.0,2,9
0,0.0,0.023088941728531813,-0.02549941188260323,0,10
1,0.0921921428621291,0.0,-0.42212770396423005,1,10
2,-0.17627750517477586,-2.778532376293431,0.0,2,10
0,0.0,0.05964665043663395,-0.024743309258544913,0,11
1,0.09684288088788459,0.0,-0.3870259695788224,1,11
2,-0.2280723725807645,-2.6771839291020743,0.0,2,11
0,0.0,0.12342969167754801,-0.021754278637715892,0,12
1,0.20046788717231645,0.0,-0.31213729043385047,1,12
2,-0.2873771999090567,-2.529288743839009,0.0,2,12
0,0.0,0.16877641564050028,-0.01512676690814469,0,13
1,0.44638898470418,0.0,-0.2176205351248446,1,13
2,-0.5715058968638265,-2.3060301639527605,0.0,2,13
0,0.0,0.11169827646151735,-0.0058651192238465336,0,14
1,0.3283024603740311,0.0,-0.1735076116996687,1,14
2,-0.6705756053965273,-2.082159940294982,0.0,2,14
0,0.0,0.11446613856168199,-0.007552688258449075,0,15
1,0.3629987478980244,0.0,-0.21271266688070892,1,15
2,-0.5839806803834537,-2.405260605912983,0.0,2,15
0,0.0,0.09561115902736932,-0.007042481629754222,0,16
1,0.30358310469226957,0.0,-0.22210060975230828,1,16
2,-0.46993219101631684,-2.5604103568812597,0.0,2,16
0,0.0,0.08351875845256365,-0.0065294965408928774,0,17
1,0.25857359215992926,0.0,-0.2217675673277653,1,17
2,-0.4241791873171568,-2.6117320019040657,0.0,2,17
0,0.0,0.07882247739962132,-0.0063963688535290456,0,18
1,0.23322831845394493,0.0,-0.22377914622595477,1,18
2,-0.4179738515732344,-2.6517245679873445,0.0,2,18
0,0.0,0.0715051501943159,-0.005817479667307604,0,19
1,0.15778028234257954,0.0,-0.23935347666787146,1,19
2,-0.4271082833554873,-2.8434752284384284,0.0,2,19
0,0.0,0.0756358020808291,-0.00398346432285213,0,20
1,0.11336787636974596,0.0,-0.26128849181874436,1,20
2,-0.4624358326758518,-3.0629215827720055,0.0,2,20
0,0.0,0.08911388881559566,-0.0017893836772435374,0,21
1,0.1060708929021496,0.0,-0.2673456307539518,1,21
2,-0.5285566248323978,-3.134038991792074,0.0,2,21
0,0.0,0.09537453469845256,-2.637387540828643e-05,0,22
1,0.1221057896459235,0.0,-0.26931952891593014,1,22
2,-0.5746545891819088,-3.1624873315921236,0.0,2,22
0,0.0,0.10498207318414621,0.0020710349829581357,0,23
1,0.1885742157034965,0.0,-0.261519571889885,1,23
2,-0.6403465878753392,-3.144139411276089,0.0,2,23
0,0.0,0.12101235316461263,0.0033088844101386216,0,24
1,0.34004846695542723,0.0,-0.24087292504528546,1,24
2,-0.6545943197735953,-3.1017134407751055,0.0,2,24
0,0.0,0.16792148875685495,0.0030349918024750967,0,25
1,0.4964263382549153,0.0,-0.20306121039837927,1,25
2,-0.4997998170475351,-2.982951071035376,0.0,2,25
0,0.0,0.2112475966825873,0.001696723782836101,0,26
1,0.5579505199530289,0.0,-0.2161739188928258,1,26
2,-0.21219668975921502,-3.2518270370000923,0.0,2,26
0,0.0,0.21993693124057312,0.0012391686274786202,0,27
1,0.542356620537963,0.0,-0.21875950550194495,1,27
2,-0.08943358094357674,-3.280426263825734,0.0,2,27
0,0.0,0.20249586687038423,0.0008287457613590834,0,28
1,0.47592249542374515,0.0,-0.22309692922278737,1,28
2,-0.00815692496592767,-3.2750972735341626,0.0,2,28
0,0.0,0.20134423714431934,0.0005446205019166054,0,29
1,0.4435930403858828,0.0,-0.22983106902193196,1,29
2,-0.00890380915452516,-3.276937496052889,0.0,2,29
0,0.0,0.083812178230676,-0.0008622243526915813,0,30
1,0.14257378943665128,0.0,-0.17781342493892566,1,30
2,-0.0792122783421474,-2.6066406402605127,0.0,2,30
0,0.0,0.14446612782979132,5.975036039164295e-05,0,31
1,0.29738077447808964,0.0,-0.2077298556125827,1,31
2,-0.06181567109444838,-2.9948943718284706,0.0,2,31
0,0.0,0.13391420858236633,-0.0001457812243914412,0,32
1,0.26375401537487153,0.0,-0.23513392763274055,1,32
2,-0.09601506601009752,-3.1487168143295663,0.0,2,32
0,0.0,0.09539100446774001,-1.0830013055222076e-05,0,33
1,0.17828557603181228,0.0,-0.28972629509313597,1,33
2,-0.15839488703096974,-3.45448684151277,0.0,2,33
0,0.0,0.02505284659248088,2.9763263364574333e-05,0,34
1,0.03440106820032417,0.0,-0.3764281332893838,1,34
2,-0.07136818933693331,-3.9828662930848338,0.0,2,34
0,0.0,0.03613057861097116,-0.001511131405127699,0,35
1,0.03253360710173995,0.0,-0.35777449994034244,1,35
2,-0.08791112775053807,-3.752077317974029,0.0,2,35
0,0.0,0.035715308353847196,-0.0016682396266622418,0,36
1,0.023460116099367493,0.0,-0.37870633520851366,1,36
2,-0.08565700902179087,-3.8615073216726348,0.0,2,36
0,0.0,0.03569042462525522,-0.0018100385744418681,0,37
1,0.016398543359887847,0.0,-0.3907092148381338,1,37
2,-0.0818131440159509,-3.9302176379478,0.0,2,37
0,0.0,0.04098685172687441,-0.001062357499556466,0,38
1,0.002322397199260261,0.0,-0.41386778594705015,1,38
2,-0.07285491167046569,-4.09729644859458,0.0,2,38
0,0.0,0.053704401253841946,0.0,0,39
1,0.0,0.0,-0.4083873797226357,1,39
2,-0.0959757213105058,-4.148141813049496,0.0,2,39
0,0.0,0.0548600897440278,0.0,0,40
1,0.0,0.0,-0.39725112024203085,1,40
2,-0.10495979048482926,-4.122510027060501,0.0,2,40
0,0.0,0.05733397129620265,0.0,0,41
1,0.0,0.0,-0.3508334773609026,1,41
2,-0.13147261045621791,-3.8816731824585147,0.0,2,41
0,0.0,0.0636092151680963,0.0,0,42
1,0.0,0.0,-0.33326030781160443,1,42
2,-0.1607077350667111,-3.7639793430079425,0.0,2,42
0,0.0,0.1034100932323638,0.0,0,43
1,0.0,0.0,-0.26848203495738643,1,43
2,-0.4331582852526268,-3.2183780225667937,0.0,2,43
0,0.0,0.12195016467017747,0.0,0,44
1,0.0,0.0,-0.26084342745483147,1,44
2,-0.6915700028978647,-3.059441587474804,0.0,2,44
0,0.0,0.11926700795359717,0.0,0,45
1,0.003081387870768555,0.0,-0.2659157294955042,1,45
2,-0.7047764763769094,-3.088111144685512,0.0,2,45
0,0.0,0.11408453291573166,0.0,0,46
1,0.008663496922776695,0.0,-0.27393694230365134,1,46
2,-0.6868695030909335,-3.1477251727690545,0.0,2,46
0,0.0,0.10782452849377243,0.0,0,47
1,0.017642456455087784,0.0,-0.28164901586006036,1,47
2,-0.655473905034571,-3.2083606160819977,0.0,2,47
0,0.0,0.09418329362674496,0.0,0,48
1,0.04234240732910186,0.0,-0.2890861155607351,1,48
2,-0.5847162023223137,-3.2790987855029616,0.0,2,48
0,0.0,0.044070432330472156,0.0,0,49
1,0.13943620328814654,0.0,-0.29144149649768414,1,49
2,-0.26475518135303217,-3.3908636058218304,0.0,2,49
0,0.0,0.0707422253135712,0.0,0,50
1,0.07473023757564244,0.0,-0.28780504781548144,1,50
2,-0.4781808970961425,-3.313003834449662,0.0,2,50
0,0.0,0.07073233899501886,-4.453189717066139e-06,0,51
1,0.12914708987836787,0.0,-0.2931055847128023,1,51
2,-0.41847126346372604,-3.348197302495362,0.0,2,51
0,0.0,0.07299928143760887,-9.307636803249767e-06,0,52
1,0.12098348022419453,0.0,-0.2822722185872293,1,52
2,-0.35652094688647956,-3.3135715805560264,0.0,2,52
0,0.0,0.07153772240538003,-1.2804945914842488e-05,0,53
1,0.12155220393166906,0.0,-0.28241573040801665,1,53
2,-0.35008116074609985,-3.319135741300615,0.0,2,53
0,0.0,0.07054841965266945,-2.0789573052321375e-05,0,54
1,0.12232373024614351,0.0,-0.28228163794789246,1,54
2,-0.3460217998601205,-3.3245796245140653,0.0,2,54
0,0.0,0.07038894153558028,-3.2773870273025756e-05,0,55
1,0.1233932416831183,0.0,-0.28223627463030404,1,55
2,-0.34643606083168976,-3.3310791080135775,0.0,2,55
0,0.0,0.07112597031975913,-4.448104093381624e-05,0,56
1,0.12451303694272764,0.0,-0.28249641835075595,1,56
2,-0.350817998652106,-3.3377960421850186,0.0,2,56
0,0.0,0.07186299720673994,-4.711776284705863e-05,0,57
1,0.12505404977091253,0.0,-0.28271960993616896,1,57
2,-0.35427482060797355,-3.3398254917804238,0.0,2,57
0,0.0,0.0722197166215403,-4.5564559367771326e-05,0,58
1,0.12545598662514212,0.0,-0.2827860667444123,1,58
2,-0.3555048375462778,-3.3399022691559637,0.0,2,58
0,0.0,0.07264718106554854,-4.032830841709115e-05,0,59
1,0.12650253786392576,0.0,-0.28273638426572845,1,59
2,-0.3563800043233563,-3.339291421327713,0.0,2,59
0,0.0,0.07330251936184726,-2.5747387852858634e-05,0,60
1,0.12949680031448565,0.0,-0.2823240573632367,1,60
2,-0.35657372261199205,-3.33700949000858,0.0,2,60
0,0.0,0.0741303443760346,0.0,0,61
1,0.13600709113903114,0.0,-0.281177335924787,1,61
2,-0.3544093521775804,-3.3319345060674657,0.0,2,61
0,0.0,0.07412109524694782,0.0,0,62
1,0.14026154216499986,0.0,-0.28016347894396826,1,62
2,-0.35116367607416477,-3.328075969145882,0.0,2,62
0,0.0,0.07394919182348057,0.0,0,63
1,0.1468702226737609,0.0,-0.2788907730146204,1,63
2,-0.34418301567435794,-3.3231445861911886,0.0,2,63
0,0.0,0.07391815779662643,0.0,0,64
1,0.14682170439011047,0.0,-0.2786551237516606,1,64
2,-0.34384573600898566,-3.3216866817120585,0.0,2,64
0,0.0,0.07387840103158562,0.0,0,65
1,0.14672166214423452,0.0,-0.27857673376392295,1,65
2,-0.3435261171850439,-3.3212546665346485,0.0,2,65
0,0.0,0.07379207743970159,0.0,0,66
1,0.14649839001826892,0.0,-0.27856906033421475,1,66
2,-0.34282120774783953,-3.3214027838289453,0.0,2,66
0,0.0,0.07365072083573715,0.0,0,67
1,0.14617111665900018,0.0,-0.278746934111047,1,67
2,-0.3414346615795976,-3.3229762212640117,0.0,2,67
0,0.0,0.0735646420989909,0.0,0,68
1,0.14619842763248836,0.0,-0.27914777630169685,1,68
2,-0.3394720014343598,-3.326340073710398,0.0,2,68
0,0.0,0.07362989839266976,0.0,0,69
1,0.14670552009345963,0.0,-0.2794436241035931,1,69
2,-0.33829587251160503,-3.328871185288987,0.0,2,69
0,0.0,0.07368073013454171,0.0,0,70
1,0.1469153988354547,0.0,-0.2794766384996899,1,70
2,-0.33829567567308705,-3.3291333081988874,0.0,2,70
0,0.0,0.07369599162337881,0.0,0,71
1,0.14696497354974844,0.0,-0.2794673517611418,1,71
2,-0.33836355917393324,-3.3290417174616955,0.0,2,71
0,0.0,0.07370225348608507,0.0,0,72
1,0.14698525897611117,0.0,-0.2794604592619986,1,72
2,-0.33838530945935125,-3.3289620851618524,0.0,2,72
0,0.0,0.0737052177825135,0.0,0,73
1,0.14699826769172122,0.0,-0.2794546243687926,1,73
2,-0.3383669131844217,-3.3288760836867493,0.0,2,73
0,0.0,0.07370185449632968,0.0,0,74
1,0.14699225487136183,0.0,-0.27945745118058013,1,74
2,-0.3383279880600609,-3.328881711955613,0.0,2,74
0,0.0,0.07370185449632968,0.0,0,75
1,0.14699225487136183,0.0,-0.27945745118058013,1,75
2,-0.3383279880600609,-3.328881711955613,0.0,2,75
0,0.0,0.07370185449632968,0.0,0,76
1,0.14699225487136183,0.0,-0.27945745118058013,1,76
2,-0.3383279880600609,-3.328881711955613,0.0,2,76
0,0.0,0.02851669983446615,0.0,0,77
1,0.20228410504772038,0.0,-10.779691261055614,1,77
2,0.04469835268989339,29.764278877040358,0.0,2,77
0,0.0,0.04713491391213811,0.0,0,78
1,0.12665824102597384,0.0,-0.019219000502831953,1,78
2,-0.2386714964137978,0.7072842321433145,0.0,2,78
0,0.0,0.07089078635746543,0.0,0,79
1,0.14433701760202663,0.0,-0.22539263037105658,1,79
2,-0.32872361883625567,-2.9591329910033775,0.0,2,79
0,0.0,0.07128490589980835,0.0,0,80
1,0.144659631332138,0.0,-0.2286970353234286,1,80
2,-0.3307361945745515,-2.9818246078896675,0.0,2,80
0,0.0,0.07084109528865515,0.0,0,81
1,0.14520135589429484,0.0,-0.23145972664251852,1,81
2,-0.3305214082152587,-3.000648737664985,0.0,2,81
0,0.0,0.06971980675388513,-4.6769165920049107e-07,0,82
1,0.14727918629161432,0.0,-0.23578341756310883,1,82
2,-0.33170374148667964,-3.026559906625567,0.0,2,82
0,0.0,0.06837413641618109,-2.965129811010293e-06,0,83
1,0.15103973421325936,0.0,-0.2187081658064871,1,83
2,-0.3372494857769053,-2.893810950632385,0.0,2,83
0,0.0,0.06969835153179071,-6.4697038275486365e-06,0,84
1,0.1522457257471669,0.0,-0.21628883987520517,1,84
2,-0.3439590022800184,-2.8725756475509234,0.0,2,84
0,0.0,0.07386181434354659,-2.182334398402877e-05,0,85
1,0.1559193508200143,0.0,-0.2132342426959362,1,85
2,-0.36460814814969283,-2.8400186605492754,0.0,2,85
0,0.0,0.07591710531029615,-3.765891586615204e-05,0,86
1,0.15849789001182474,0.0,-0.21249066737639327,1,86
2,-0.37684716259550993,-2.828907633646041,0.0,2,86
0,0.0,0.081291045115499,-0.0001103833273030111,0,87
1,0.1681998523095571,0.0,-0.20981303837529802,1,87
2,-0.4178457229953224,-2.7908532966363775,0.0,2,87
0,0.0,0.08456763199435838,-0.00022363218337402183,0,88
1,0.18105457963852578,0.0,-0.2054285355986341,1,88
2,-0.46528241861311204,-2.739070671680033,0.0,2,88
0,0.0,0.07971464419469826,-0.00034895666116380945,0,89
1,0.19388856190688375,0.0,-0.19758851326780286,1,89
2,-0.494497662416376,-2.6780245310082025,0.0,2,89
0,0.0,0.08104700106472518,-0.0003691719580551024,0,90
1,0.1954835205294873,0.0,-0.19662038813194122,1,90
2,-0.5036758046699429,-2.6675477531333858,0.0,2,90
0,0.0,0.08261240851817248,-0.0004065466185182325,0,91
1,0.19781893117273136,0.0,-0.19509671733997264,1,91
2,-0.5160575694671681,-2.6540167985902627,0.0,2,91
0,0.0,0.08310293564034568,-0.00043179815105581624,0,92
1,0.19872459275253984,0.0,-0.19443933443281344,1,92
2,-0.5203876739278294,-2.6513968003971304,0.0,2,92
0,0.0,0.08274980817214289,-0.0004430932713464167,0,93
1,0.19847313161261537,0.0,-0.1944937189771898,1,93
2,-0.5181271262449885,-2.6569994961618355,0.0,2,93
0,0.0,0.08233536563485891,-0.0004389749835668225,0,94
1,0.19797426875610732,0.0,-0.19482888184955724,1,94
2,-0.5148911771861264,-2.6617635146838836,0.0,2,94
0,0.0,0.08221628407442437,-0.00043590669241592615,0,95
1,0.19786252519130196,0.0,-0.19497655189159097,1,95
2,-0.5138226793114666,-2.663317341160713,0.0,2,95
0,0.0,0.08217942600758857,-0.00043380420646113636,0,96
1,0.1979047207501272,0.0,-0.19503892057388686,1,96
2,-0.5133682408205085,-2.6639719638882555,0.0,2,96
0,0.0,0.08212731391199227,-0.00042724229982249267,0,97
1,0.1982465058730739,0.0,-0.195144829115826,1,97
2,-0.5123150454675538,-2.6653066714102396,0.0,2,97
0,0.0,0.08211670462556962,-0.0004161862755458619,0,98
1,0.19909353836655544,0.0,-0.19517359713135363,1,98
2,-0.5109920841275082,-2.6664117067060804,0.0,2,98
0,0.0,0.082191852370167,-0.00039862423521510573,0,99
1,0.20073847517638563,0.0,-0.19498288056930682,1,99
