,0,1,2,vars,t
0,0.0,0.0,0.0,0,0
1,0.0,0.0,0.0,1,0
2,0.0,0.0,0.0,2,0
0,0.0,0.22997491996654876,0.2095553129041543,0,1
1,0.22997491996654876,0.0,0.03756459134482479,1,1
2,0.20955531290415433,0.037564591344824795,0.0,2,1
0,0.0,0.42577437234826976,0.3811534449260431,0,2
1,0.30742125507999735,0.0,0.04910256550855031,1,2
2,0.27372328954578035,0.048846573999116516,0.0,2,2
0,0.0,0.6381082993798428,0.5560019195172147,0,3
1,0.2534625867284786,0.0,0.04377459632209892,1,3
2,0.21972803970973656,0.04342696508188843,0.0,2,3
0,0.0,0.630765620943184,0.5455668674754501,0,4
1,0.23416722033619125,0.0,0.046388702989946566,1,4
2,0.20324569327360933,0.04650638728571726,0.0,2,4
0,0.0,0.591173312515977,0.4874570607364038,0,5
1,0.1750981288019038,0.0,0.05637276408709944,1,5
2,0.14890692768070504,0.058084494452332394,0.0,2,5
0,0.0,0.6164754634647462,0.508074311701606,0,6
1,0.19624881235366753,0.0,0.06025125592971324,1,6
2,0.1667679787594076,0.06206874293940112,0.0,2,6
0,0.0,0.6384408120271966,0.5133465015170954,0,7
1,0.216647615871796,0.0,0.06538825781970051,1,7
2,0.18092023459685605,0.06780597252709766,0.0,2,7
0,0.0,0.6602926796299425,0.5007025797072212,0,8
1,0.23070178273662525,0.0,0.0724466569992079,1,8
2,0.18568196490671746,0.07657106537500402,0.0,2,8
0,0.0,0.5769314626989527,0.3377535317145534,0,9
1,0.16148844691968292,0.0,0.09175337356997702,1,9
2,0.10981366221183331,0.10228413386291986,0.0,2,9
0,0.0,0.6369782630177189,0.36974404760099455,0,10
1,0.1734569027171676,0.0,0.10344656574217442,1,10
2,0.11701284972202108,0.11559847824935753,0.0,2,10
0,0.0,0.6749860028085942,0.3840222764748301,0,11
1,0.17738734466533662,0.0,0.11520681336661942,1,11
2,0.11809632929663223,0.12926628725314127,0.0,2,11
0,0.0,0.680237328050927,0.380878757142493,0,12
1,0.17614801421198692,0.0,0.12050803053348548,1,12
2,0.11620480963442796,0.13559273396652244,0.0,2,12
0,0.0,0.6985554821145249,0.33508695296759616,0,13
1,0.15846546201599326,0.0,0.17697793613461282,1,13
2,0.09460830448281224,0.20210679452603905,0.0,2,13
0,0.0,0.6934319474717789,0.2934885935844571,0,14
1,0.1445459811501094,0.0,0.22144802651129203,1,14
2,0.07776514679615042,0.25260338083508516,0.0,2,14
0,0.0,0.6858596499745657,0.2550019691008656,0,15
1,0.13357920958453684,0.0,0.2459859380043787,1,15
2,0.06530181178828443,0.28272198889892614,0.0,2,15
0,0.0,0.692628500721803,0.2275984885417003,0,16
